name,title,facility_name,place_supplement,category_names,event_date1,event_close_date1,event_date2,event_close_date2,event_date3,event_close_date3,event_date4,event_close_date4,event_date5,event_close_date5,event_date_supplement,body,event_uri,target,fee,nursery,capacity,advance_entry,advance_supplement,circle_name,sponsor_supplement,inquiry_email,inquiry_tel,inquiry_uri,memo,image_file_name,image_file_upload_path,image2_file_name,image2_file_upload_path,image3_file_name,image3_file_upload_path,append_file_name,append_file_upload_path,append2_file_name,append2_file_upload_path,append3_file_name,append3_file_upload_path,state
2020071000400 ,【kiji】テスト,,,遊ぶ,2021/7/10,,,,,,,,,,,"テスト
テスト
テスト",,,,,,不明,,,,,,,,,,,,,,,,,,,,recognize
2021071400023 ,【複製】【7月25日まで】門前どおり　提灯ディスプレイ,,法多山尊永寺　門前ごりやくカフェ付近（袋井市豊沢2777）,その他,2021/7/17,,2021/7/25,,,,,,,,～22：00頃まで,"【開催期間：7月25日（日）まで】

門前入口にエキゾチックな赤い提灯500基をディスプレイ中です
昼と夜で違った雰囲気が楽しめます。

夜間は22時頃までライトアップ中です。",https://www.hattasan.or.jp/newwp/archives/5945,"
","
",,,不要,,,"法多山尊永寺
",soneiji@hattasan.or.jp,0538-43-3601 ,http://www.hattasan.or.jp/,開始日1を今週土曜日からに設定しました。（7/12國井）,,,,,,,,,,,,,draft
2021072700115 ,【8月29日まで】草薙神社龍勢花火展,,静岡県立中央図書館,文化芸術,2021/7/20,,2021/8/29,,,,,,,,9：00～17：00,"【開催期間：7月20日（火）～8月29日（日）】
※7月30日（金）、8月2日（月）、16日（月）は休館日

静岡県立中央図書館は、静岡県指定無形民俗文化財に指定されている草薙神社龍勢花火の伝統と技法を受け継ぐ、草薙神社龍勢保存会の協力を得て、龍勢花火に関する展示とイベントを行います。

展示内容
龍勢花火の製造方法や歴史に関するパネル展示
龍勢花火の実物写真
龍勢花火の写真展示",https://www.tosyokan.pref.shizuoka.jp/contents/info/2021/post_51.html,,,,,不要,,,静岡県立中央図書館,webmaster@tosyokan.pref.shizuoka.jp,054-262-1242,https://www.tosyokan.pref.shizuoka.jp/index.html,http://www2.pref.shizuoka.jp/all/kisha.nsf/c3db48f94231df2e4925714700049a4e/30313d574073635749258711000963ec?OpenDocument,,,,,,,,,,,,,recognize
2021073000252 ,【8月16日まで】夏と檜皮と小國神社展,,小國神社 斎館2階「 研修室 」,文化芸術,2021/7/22,,2021/8/16,,,,,,,,10：00～16：00,"【開催期間：7月22日（木）～8月16日（月）】

当社研修室におきまして有限会社静岡木工主催による「夏と檜皮と小國神社展」が開催いたします。
当社は現在「令和のお屋根替え」として約50年振りとなる御本殿以下社殿群のお屋根替えを実施しており、昨年12月にユネスコ無形文化遺産に登録された技法「檜皮葺」で葺き替えられています。

檜皮葺は、日本の伝統技術で樹齢100年以上の檜を伐採することなく皮だけを採取し職人の手により葺き替えられる技法です。さらに、この技法は素材育成と採取を繰り返すことにより持続可能な技術を実現し、世界からも注目されている伝統的な建築技術です。

今回の展示では、令和のお屋根替え及び檜皮葺・檜皮採取の展示に加え、神棚や神具などの「神棚の里」物販エリアが併設されます。近年では「神棚を自宅に設け、心豊かに暮らしたい。」と願う方が増えてまいりました。本展では、「祈りの心をご家庭に」をテーマに様々なライフスタイルに合わせた神棚を展示いたします。それぞれのご家庭にあった神棚がきっと見つかることと存じます。是非ともご覧ください。
",http://www.okunijinja.or.jp/information/?vol=331#anc,,無料,,,不明,,,小國神社,,0538-89-7302,http://www.okunijinja.or.jp/,,,,,,,,,,,,,,recognize
2020071000332 ,【blog01宛て】テスト,オンライン,,遊ぶ,2021/7/31,,,,,,,,,,,test,,,,,,不明,,,,,,,,,,,,,,,,,,,,recognize
2021073000221 ,みんなのハートをつなぐ凧＜凧絵制作＞,,浜松まつり会館　東側公園内（南区中田島町1313）　※（雨天/強風時は浜松まつり会館内）,"遊ぶ
作る",2021/7/31,2021/8/1,2021/9/4,2021/9/5,2021/10/2,2021/10/3,,,,,10：00～16：00,"みんなの描いたハートが凧絵になり大空にあがります！！

◇凧絵制作
参加者が和紙におのおのお好きな色でハートを描いていただきます。

《ハートをつなぐ凧》は11月21日（日）全国凧あげ浜松大会にてあげます。凧あげ体験可能です。
 ",https://matsuri.entetsuassist-dms.com/news/detail/201,どなたでも,"無料
【入館料】大人400円、70歳以上・中学生以下無料",,,不要,,,浜松まつり会館,,053-441-6211,https://matsuri.entetsuassist-dms.com/,https://www.facebook.com/%E3%81%BF%E3%81%AA%E3%81%BF%E3%82%8B%E6%B5%9C%E6%9D%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E5%BD%B9%E6%89%80-1381987272042806/,,,,,,,,,,,,,recognize
2021073000269 ,御本殿　檜皮葺屋根見学会,,,文化芸術,2021/7/31,2021/8/1,2021/8/7,2021/8/9,,,,,,,①11：00　②11：30　③14：00　④14：30,"葺き替え工事の見学会を開催いたします。

日本古来より伝わる伝統技法「檜皮葺」を知っていただくことはもちろん、屋根の葺き替えを通して日本人が大切にしてきた伝統と技術、そして心が受け継がれていく瞬間を多くの皆様にご覧いただければ幸いに存じます。",http://www.okunijinja.or.jp/information/?vol=331#anc,,無料,,各5名,不要,当日の先着順となりますので、ご希望の方は当日展示会場のスタッフまでお申し出下さい。,,小國神社,,0538-89-7302,http://www.okunijinja.or.jp/,,,,,,,,,,,,,,recognize
2021060400188 ,【8月29日まで】不思議な植物の世界～食虫植物～,はままつフラワーパーク,大温室クリスタルパレス　イベントコート,自然,2021/7/31,,2021/8/29,,,,,,,,,"【開催期間：7月31日（土）～8月29日（日）】

夏休みの特別展示として、食虫植物を中心とした独特の形や特異な仕組みの植物をイベントコートなどに展示します。

",https://e-flowerpark.com/news/event/4144/,,【入園料】無料,,,不要,,はままつフラワーパーク,,,053-487-0511,https://e-flowerpark.com/,"ML依頼より
イベントURL入力（8/2國井）",,,,,,,,,,,,,recognize
2021073000177 ,県民の日事業　県工業技術研究所・工業技術支援センターフェア　夏休み親子教室①②,オンライン,,学ぶ,2021/8/2,,,,,,,,,,①10：30～11：30　　②13：30～15：30,"ライブ配信は①、②どちらか1つとしてください。

夏休み親子教室①
☆ペーパークロマトを体験しよう！
ペーパークロマトグラフィーという方法を使って、水性ペンの色について学習しよう。

☆塩水で動く！？不思議な車
塩水を用いて車を動かす！？いっしょに組み立ててみよう。


夏休み親子教室②
☆マイコンを使ったプログラミング講座
昨年度から小学校の授業にも取り入れられたプログラミング。マイコンを使って、体験しよう。",https://www.iri.pref.shizuoka.jp/seminar/event/2603.html,"県内在住の小学校5・6年生とその保護者
※小学生1名につき、保護者1名の2名1組でお申込みください。",,,各教室５組（10名）,要,,,静岡県工業技術研究所,,054-278-3028,https://www.iri.pref.shizuoka.jp/,http://www.pref.shizuoka.jp/kikaku/ki-110/r1kennminnohi_panf_kakuchi.html,,,,,,,,,,,,,recognize
2021073000191 ,【8月31日まで】県民の日事業　県工業技術研究所・工業技術支援センターフェア　オンデマンド配信,オンライン,,学ぶ,2021/8/6,,2021/8/31,,,,,,,,,"【配信期間：8月6日（金）～8月31日（火）※一部動画は8月以後も公開します。】

わくわく科学実験
☆食品廃棄物（生ごみ）をエネルギーに変える！リサイクル実験を見学しよう！
微生物の力で生ごみを燃えるガス（エネルギー）に変える実験の様子を紹介します。
生ごみの種類が変わると出てくるガスに違いはあるのか観察してみよう！

☆プラスチック製品はどうやってつくられるの？
身の回りで使われているプラスチック製品のつくりかたについて学びましょう。
研究所にある混練機（こんれんき）や成形機（せいけいき）の動画などを見ながら、プラスチック製品のつくりかたを分かりやすく説明します。

☆放電させてもらっていいですか？
ものづくりの基本となる材料や加工に関する試験研究を行っています。プラスチックの表面処理方法や不良の原因を探索する装置を紹介します。


実験・活動紹介
☆ユニバーサルデザインって何？
「ユニバーサルデザイン」の考え方を説明し、研究所のユニバーサルデザイン科がどんな仕事をしているか簡単に紹介します。

☆CNFってなんだろう？
近年話題のCNF、聞いたことはあるけど、実はよく知らない方のために、CNFのキホンについて解説します。

☆製紙科のお仕事
全国的にもめずらしい“製紙”に関する仕事をしています。普段の仕事の中で、紙に関する様々な試験の様子、トイレットペーパーの流れやすさ（ほぐれやすさ）の試験の様子を紹介します。


施設紹介
☆静岡県 IoT 推進ラボバーチャル見学ツアー
静岡県 IoT 推進ラボでは、県内の中小企業の皆さまのために様々な IoT 関連機器・導入事例を紹介しています。展示内容を動画で分かりやすく解説しますので、ぜひ、御覧ください。

☆職場、ついて行ってイイですか？～富士工技センター～
今日は、研究所の中を少しだけお見せします！特殊な機器や大型の装置など、普段見ることのない設備がたくさんあります。",https://www.iri.pref.shizuoka.jp/seminar/event/2603.html,どなたでも,,,,不要,,,静岡県工業技術研究所,,054-278-3028,https://www.iri.pref.shizuoka.jp/,http://www.pref.shizuoka.jp/kikaku/ki-110/r1kennminnohi_panf_kakuchi.html,,,,,,,,,,,,,recognize
