name,title,division,category,calendar_state,place,lat,lng,tel,url,fax,add1,add2,add3,add4,add5,add6,add7,add8,add9,add10,addd11,add12,add13,add14,add15,add16,add18,add19,add20,add21,add22
2021061400019 ,学童保育リョウマクラブ,三方原,類似放課後児童クラブ,2,三方原町106-45,34.77443251,137.7224086,090-1561-1836,https://ryoumaclub.amebaownd.com/,,運営者$$一般社団法人学童保育リョウマクラブ,備考$$1日から利用可能です。お気軽にお問い合わせ下さい。,,,,,,,,,,,,,,,,,,,
2021041900027 ,浜松中央こども園,中央,親子ひろば,2,尾張町127-7,34.711921,137.730753,053-453-0249,http://www.hamachuuyou.ed.jp/,,開催日$$第3木曜日　※詳細はHPをご確認ください。,開催時間$$10:00～11:30,園庭開放$$毎週金曜日,駐車場$$あり,,,,,,,,,,,,,,,,,
2021041900034 ,れんりの子,都田,親子ひろば,2,都田町8503-19,34.81528781,137.7329447,053-428-3500,https://hoikuen-lenri.com/,,開催日$$月2回　不定期,開催時間$$10:00～10:40,園庭開放$$毎週月曜日～金曜日（祝日は除く）　9:00～11:30,駐車場$$10台,,,,,,,,,,,,,,,,,
2021041900041 ,はぐみなの風保育園,三方原,親子ひろば,2,根洗町693,34.79832526,137.6998155,053-414-8937,https://hagumina.com/,,開催日$$第3水曜日,開催時間$$10:00～11:00,園庭開放$$水曜　9:00～11:00,駐車場$$10台,,,,,,,,,,,,,,,,,
2021041900058 ,チャイルドスクエア浜松三ヶ日,三ヶ日,親子ひろば,2,三ヶ日町三ヶ日916-70,34.80326463,137.5489748,053-524-4188,http://childsquare.com/,,開催日$$第3水曜日,開催時間$$9:30～11:30,園庭開放$$毎週木曜日,駐車場$$あり,,,,,,,,,,,,,,,,,
2021041900065 ,ひがしみかた保育園,三方原,親子ひろば,2,東三方町519-5,34.78579507,137.7374417,053-401-1231,,,開催日$$6月より　月・水,開催時間$$9:30～11:30,園庭開放$$天気次第（10:45～11:20）,駐車場$$あり,,,,,,,,,,,,,,,,,
2021042100051 ,静岡県立浜松みをつくし特別支援学校,細江,特別支援学校,2,細江町広岡1,34.81281711,137.6629835,053-424-5890,,,障害種別$$知的,対象$$小・中・高,,,,,,,,,,,,,,,,,,,
2021052400035 ,中区城北教室,城北,はままつ子どもの学習教室,2,広沢一丁目21-1(西部協働センター),34.715768,137.71664,090-2570-7363,,,メール$$h-kodomo@hsyakyou.or.jp,開催日時$$火曜日・18:30～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人浜松市社会福祉協議会,,,,,,,,,,,,,,
2021052500339 ,中区萩丘教室,萩丘,はままつ子どもの学習教室,2,葵東１丁目15-1(北部協働センター),34.757002,137.720949,090-2570-7363,,,メール$$h-kodomo@hsyakyou.or.jp,開催日時$$水曜日・18:30～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人浜松市社会福祉協議会,,,,,,,,,,,,,,
2021052500346 ,JUICE CLASS（ジュースクラス）,曳馬,はままつ子どもの学習教室,2,曳馬6-22-19　２F(ひまわり　ひくまの丘),34.738046,137.73629,090-2265-3744,,,開催日時$$木曜日・17:30～20:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$一般社団法人みらいTALK,,,,,,,,,,,,,,,
2021052500353 ,東部協働センター教室,江東,はままつ子どもの学習教室,2,相生町23-1(東部協働センター),34.707029,137.748762,090-4468-0582,,,メール$$greendays@shizuoka.tnc.ne.jp,開催日時$$火曜日・18:30～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$NPO法人サステナブルネット,,,,,,,,,,,,,,
2021052500360 ,個別教室のトライ富塚校,富塚,はままつ子どもの学習教室,2,富塚町1933-1　パークタウンサウス1F(個別教室のトライ富塚校),34.722153,137.698907,053-450-8481,,,"開催日時$$以下の曜日のうちいずれか１日
① 月～金曜日  ② 土曜日
以下の時間のうちいずれか2時間
①   16:00～22:00  ② 13:00～22:00",対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$株式会社トライグループ,,,,,,,,,,,,,,,
2021052500377 ,個別教室のトライ浜松駅前校,中央,はままつ子どもの学習教室,2,鍛冶町1-35　中村企画ビル1F(個別教室のトライ浜松駅前校),34.703353,137.731572,053-450-8481,,,"開催日時$$以下の曜日のうちいずれか１日
① 月～金曜日  ② 土曜日
以下の時間のうちいずれか2時間
① 16:00～22:00  ② 13:00～22:00",対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$株式会社トライグループ,,,,,,,,,,,,,,,
2021052500384 ,ひまわり会学習支援,城北,はままつ子どもの学習教室,2,城北１丁目8-1(勤労会館Ｕホール),34.717515,137.723637,090-6073-5220,,,メール$$hamagaku1oya@gmail.com,"開催日時$$土曜日・以下の時間のうちいずれか
①   10:00～12:00  ② 13:00～15:00",対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$各25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$公益社団法人静岡県母子寡婦福祉連合会,,,,,,,,,,,,,,
