id,unid,content_id,state,agent_state,created_at,updated_at,recognized_at,published_at,title,head,body,mobile_title,mobile_body,URL,属性,新ポータル反映用,グループ,作成者,ファイルパス,ファイルパス（内部）,ファイル名（内部）,ファイル表記（内部）,関連記事,関連ワード
1463,13009,20,public,,2014/3/3 13:32,2014/6/13 15:37,,2013/6/14 12:52,暑さ指数（WBGT）とは？,,"<p>「暑さ指数」とは、単純に気温だけでなく、湿度や日差しなども考慮され、人が熱中症になりやすい状態を示す指標です。<br /><br /><a href=""http://www.wbgt.env.go.jp/"" target=""_blank"">環境省熱中症予防情報サイト </a>で、「暑さ指数」の公表が始まりました。<br />現在の暑さ指数の状況に加えて、翌々日までの予測が公開されています。<br /><br />今年から、生活の場ということで、「駐車場」、「住宅地」、「子ども」 などの状況や場所別の参考値がでるようになりました。</p>
<p><img src=""./files/2014030310839_atusa.jpg"" alt=""atusa.jpg"" width=""400"" height=""370"" align="""" /></p>
<p>例えば背が低い分、地面からの距離が近く、地面からの輻射熱の影響も受けやすい子どもの指標は、地面に近い高さの場所、高さ50cmとなっていて、より注意が必要なことが分かります。<br /><br />防災対策は地震や津波ばかりでなく、台風や大雪、猛暑への備えも必要です。<br />熱中症は気温が1度上昇するだけでも、リスクが高まるとも言われています。<br />これから夏にむかって気温も上昇していきますので、暑さへの備えもしていきたいですね。</p>
<div style=""text-align: right;"">はっぴー☆</div>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310839/,防災豆知識,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310839/files/2014030310839_atusa.jpg,/var/share/joruri/upload/sys/files/00/00/54/92/00005492/0005492.dat,2014030310839_atusa.jpg,2014030310839_atusa.jpg,,
1464,13010,20,public,,2014/3/3 13:32,2021/8/14 13:00,,2013/6/17 9:00,「じしんのえほん」,,"<p>突然地震が起こったら、どうやって身を守るか？ということを想像してみたことはありますか？<br /><a href=""https://www.amazon.co.jp/gp/product/4591090671/ref=as_li_tl?ie=UTF8&amp;camp=247&amp;creative=1211&amp;creativeASIN=4591090671&amp;linkCode=as2&amp;tag=hamamatsupipp-22&amp;linkId=25a4272d1f3c1db20c5c9416c5270b00"" target=""_blank""><img src=""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&amp;MarketPlace=JP&amp;ASIN=4591090671&amp;ServiceVersion=20070822&amp;ID=AsinImage&amp;WS=1&amp;Format=_SL250_&amp;tag=hamamatsupipp-22"" alt="""" border=""0"" /></a><br />災害が起こった時に自分がいる場所によって、身の守り方は違います。<br />では、それを、子どもたちにも伝えていますか?いざという時に冷静に判断して行動するには、事前にシミュレーションしておくといいですね。<br /><br />この本は、子どもの生活パターンで、いざという時にどのように身を守るのかがわかりやすく描かれています。ぜひ、お子さんと一緒に読んでみてください。</p>
<p style=""text-align: right;"">（わかば）</p>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310846/,本の紹介,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,,,,,,
1465,13011,20,public,,2014/3/3 13:32,2021/8/14 12:58,,2013/6/24 8:00,被災地の女性の悩み,,"<p><img src=""./files/2014030310853_nayami2-thumbnail2.jpg"" alt=""nayami2.jpg"" width=""149"" height=""240"" align=""left"" />内閣府男女共同参画局のホームページに6月14日、「<strong>平成24年度　東日本大震災被災地における女性の悩み・暴力相談事業　報告書</strong>」が掲載されました。<br />◎<a href=""http://www.gender.go.jp/policy/saigai/bo-reports.html"" target=""_blank"">平成24年度　東日本大震災被災地における女性の悩み・暴力相談事業　報告書</a>（内閣府男女共同参画局）<br /><br />これは、平成24年4月1日～平成25年3月31日までの相談期間中に、岩手県・宮城県・福島県の7つの相談拠点で受けた5,573件の相談についてまとめた報告書です。<br /><br />これによると相談内容は、不安や抑うつ、ＰＴＳDなどの「心理的問題」が2,460件（21.3％）で、最も多くなりました。<br />次いで、生きがいを失ったり孤独・孤立を感じるなど、「生き方」が1,754件（15.2％）。<br /><br />以降は、「家族問題」が1,664件（14,4％）、「対人関係」が1,155件（10.0％）、「暮らし」が1,057件（9.1％）、「夫婦問題」が1,034件（8.9％）、ＤＶ（ドメスティック・バイオレンス）が666件（5.8%）、ＤＶ以外の暴力が84件（0.7%）となりました。<br /><br />実に多くの女性が、震災から2年を経過した現在も不安や悩みを抱えています。<br />相談は平成25年度も継続して実施されており、現在も毎月400件を超える相談が寄せられ、内容もより複雑化してきているそうです。<br /><br />阪神淡路大震災など過去の災害を振り返っても、災害時に女性が受ける被害は大きく、避難生活やその後の生活においても女性特有といえる不安やストレスがありました。<br />被災したのは男性も女性も同じであったとしても、女性には本来、産む性としての身体的な負担がありますし、避難所生活において女性への配慮はほとんどなされなかったため、避難生活は厳しいものとなりました。また、女性は社会的にも家族の世話や介護などの役割をより重く担うという現状から、悩みは長期化しています。<br /><br />今後も災害が起こる限り、女性の悩みもなくなることはないでしょう。それを少しでも防ぎ、軽減するには、女性たち自身が声をあげ、防災に女性の意見を取り入れていくことが重要でしょう。震災前を生きている私たちだから、今のうちだからこそできることが、きっとたくさんあるはずです。</p>
<div style=""text-align: right;"">（ずきんちゃん）</div>
<p><br /><br /><a href=""/shiritai/blog/bosai/cat/b311/more.html""><img src=""./files/2014030310853_311_550bnr.jpg"" alt=""私たちは忘れない3.11"" width=""550"" height=""62"" align="""" /></a></p>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310853/,忘れない3.11,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,"https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310853/files/2014030310853_nayami2-thumbnail2.jpg
https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310853/files/2014030310853_311_550bnr.jpg","/var/share/joruri/upload/sys/files/00/00/54/94/00005494/0005494.dat
/var/share/joruri/upload/sys/files/00/00/54/93/00005493/0005493.dat","2014030310853_311_550bnr.jpg
2014030310853_nayami2-thumbnail2.jpg","2014030310853_311_550bnr.jpg
2014030310853_nayami2-thumbnail2.jpg",,
1466,13012,20,public,,2014/3/3 13:32,2016/9/14 12:58,,2009/6/6 20:31,地震速報のテロップ,,"<p>少し前になりますが、2009年5月25日（月）20時26分ごろ地震がありました。<br />気づいた方も多かったことと思います。<br /><br />夕食後の団欒の時間だった我が家も「あっ、揺れている」と気づき、情報収集のためにテレビをつけたところ、<br /><br />テレビの地震速報が流れ、<br />「ただ今、静岡県西部地域を震源とするM:4.7の地震がありました。」<br />「各地の震度は次の通りです。震度3 菊川市～～～　震度2 浜松中区　浜松西区　浜松北区　浜松天竜区～～～　震度1 ～～～」<br /><br />あれっ？東区は？南区は？<br /><br />どうも、合併前の旧市町村単位で地震計が設置されているため、<br />東区、南区については地震計がなく、区としての震度が公表されないようです。<br /><br />区ごとで発表されると、なんだかややこしい。東区や南区は地震の揺れがなかったと勘違いする人はいないのかな？</p>
<div style=""text-align: right;"">はっぴー☆</div>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310860/,防災を考えるコラム,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,,,,,,
1467,13013,20,public,,2014/3/3 13:32,2021/8/16 12:54,,2009/6/13 0:00,親子のための地震安全マニュアル―家庭で備える地震対策最新情報!,,"<p>8月に「防災フェア2009」が浜松市で行われます。<br />防災訓練の時だけでなく、普段からの備えをする事が大切。<br />子どもには、グラッときたらすぐに机の下にもぐることなど、<br />家庭の中でちょっとしたゲーム感覚で練習しておくのもいいでしょう。<br /><br />子どもにもわかりやすく書かれているので、<br />夏休みの宿題に利用することもできるかも！！</p>
<p><a href=""https://www.amazon.co.jp/gp/product/4890489142/ref=as_li_tl?ie=UTF8&amp;camp=247&amp;creative=1211&amp;creativeASIN=4890489142&amp;linkCode=as2&amp;tag=hamamatsupipp-22&amp;linkId=1fa795b9b190e126df9b667ea206bc7d"" target=""_blank""><img src=""//ws-fe.amazon-adsystem.com/widgets/q?_encoding=UTF8&amp;MarketPlace=JP&amp;ASIN=4890489142&amp;ServiceVersion=20070822&amp;ID=AsinImage&amp;WS=1&amp;Format=_SL250_&amp;tag=hamamatsupipp-22"" alt="""" border=""0"" /></a></p>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310877/,本の紹介,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,,,,,,
1469,13015,20,public,,2014/3/3 13:32,2014/6/13 15:04,,2008/12/2 11:13,防災便利グッズ　スパウトバッグ,,"<p>災害時の給水用に使える便利なグッズがあります。</p>
<p><img title=""2014030310891_P1000986.jpg"" src=""./files/2014030310891_P1000986.jpg"" alt=""2014030310891_P1000986.jpg"" /></p>
<p>容器は袋状になっていて上部の開口部が広くなっているので、水だけでなく、いろいろな形状のものを入れることができます。<br />また、スライド式のスティックジッパーで密閉できます。<br /><br />アイデア次第でいろいろな使い道がありそうですね。</p>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310891/,防災グッズ,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310891/files/2014030310891_P1000986.jpg,"/var/share/joruri/upload/sys/files/00/00/54/96/00005496/0005496.dat
/var/share/joruri/upload/sys/files/00/00/54/95/00005495/0005495.dat","2014030310891_P1000986-thumbnail2.jpg
2014030310891_P1000986.jpg","2014030310891_P1000986-thumbnail2.jpg
2014030310891_P1000986.jpg",,
1471,13017,20,public,,2014/3/3 13:32,2018/11/28 15:20,,2008/12/26 15:54,自主防災組織とは,,"<p>静岡県の自主防災組織率は全国一高いでしょう。それは各市町村が自治会組織＝自主防災組織としているからです。 <br />ただ、住民全員がその一員であることを意識していないのが、現実だと思われます。 <br />自主防災役員だけが災害時に活動するのではありません。リーダー役が回り番で来た時だけが役割ではなく、大災害が起きた時には住民全員で災害に対応するための助け合いの組織です。 <br />県のホームページの防災局の自主防災組織とはのところを参照してください。 <br />役割のところには下記のように書いてあります。 <br />自主防災組織は、大規模な災害が発生した際、地域住民が的確に行動し被害を最小限に止めるため、日ごろから地域内の安全点検や住民への防災知識の普及・啓発、防災訓練の実施など地震被害に対する備えを行い、また、実際に地震が発生した際には、初期消火活動、被災者の救出・救助、情報の収集や避難所の運営といった活動を行うなど、非常に重要な役割を担っています。 <br />だれもが自主防災組織の一員であることを認識して、自分の命、家族の命を守り、地域の人の助け合いの仲間であることを認識しましょう</p>
<p>参考：浜松市<br /><a href=""https://www.city.hamamatsu.shizuoka.jp/kiki/disaster/bousai/jishubo.html"" target=""_blank"">https://www.city.hamamatsu.shizuoka.jp/kiki/disaster/bousai/jishubo.html</a></p>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310914/,防災豆知識,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,,,,,,
1472,13018,20,public,,2014/3/3 13:32,2016/9/14 14:31,,2008/12/30 8:00,一年の終わりに、防災の総まとめを,,"<p>大掃除のシーズンです。納戸を整理していたら、非常用にと思って買っておいた保存食を発見、賞味期限を見たらとっくに過ぎていた&hellip;.ということもありそうですね。市販のカップラーメンの賞味期限はおよそ５か月ですが、防災用に賞味期限が長い乾麺も販売されています。お湯や水を注ぐだけで食べられるアルファー米は、賞味期限が５年と長めなので、防災食向きですね。最近はホームセンターなどでも手に入ります。<br />年の暮れの大掃除は、防災食や防災グッズなどの総点検のチャンスです。1年の間には、子どもが成長したりペットが増えたりと、状況の変化に応じて必要な物資の内容も変化しているはず。足りないものを補充して、備え十分な新年を迎えましょう。</p>
<p>さて、大掃除のついでに、家の防災力もチェックしてみましょう。基礎の亀裂や床面の傾斜、塀や壁面の亀裂など、老朽化のサインがあったら見逃さないで。自宅の耐震力は十分なのか、気になる場合は専門家の診断を受けてみることをおすすめします。幸い、静岡県には専門家が無料で耐震診断してくれる制度もあります。下の建築安全推進室のサイトを参考にしてください。</p>
<ul>
<li><a href=""http://www.taishinnavi.pref.shizuoka.jp/index.html"" target=""_blank"">耐震ナビ</a></li>
</ul>
<p>この１年を無事に過ごせたことに感謝しながら、新しい年も防災を忘れない年にしてゆきたいものですね。</p>
<p style=""text-align: right;"">ずきんちゃん</p>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310921/,防災豆知識,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,,,,,,
1473,13019,20,public,,2014/3/3 13:32,2016/8/24 15:22,,2013/7/1 8:00,静岡県第4次地震被害想定（第一次報告）,,"<p>静岡県が6月27日、第4次地震被害想定の第一次報告を出しました。</p>
<p>第一次報告では、駿河トラフ・南海トラフ沿いと相模トラフ沿いで発生するレベル1とレベル2の地震･津波による震度分布や津波高、浸水域等の自然現象の想定結果と、その地震･津波による人的被害、物理的被害の想定結果を取りまとめるとともに、災害対策を行ううえで重要な視点、タイミングを明らかにした被害･対応シナリオを、取りまとめたものが出されました。</p>
<p>静岡県公式ホームページ <a href=""http://www.pref.shizuoka.jp/bousai/4higaisoutei/"" target=""_blank"">静岡県第4次地震被害想定（第一次報告）</a></p>
<p>地震･津波による人的被害、物理的被害の想定結果の取りまとめは、東日本大震災等の教訓を生かしたとされ、発生頻度は極めて低いが、発生すれば甚大な被害をもたらす、あらゆる可能性を考慮した最大クラスの地震・津波を「レベル２の地震・津波」とし、最大クラスＭ９程度の巨大地震が起きると、浜松市南区や西区では最大津波が14～15メートルと想定されています。<br />建物被害では、冬の夕方に発生した場合、浜松市では揺れで48000棟、火災で15000棟が被害を受けるとされています。</p>
<p><img title=""2014030310938_ilm22_aa01060-s-thumbnail2.jpg"" src=""./files/2014030310938_ilm22_aa01060-s-thumbnail2.jpg"" alt=""2014030310938_ilm22_aa01060-s-thumbnail2.jpg"" /></p>
<p>関連資料には、自然現象・建物被害・人的被害、震度分布・津波高、被害・対応シナリオなどが書かれています。<br />これはあくまでも想定で、一人ひとりが防災に関心を持ち、日頃から備えていれば、死者数も半減するものとされています。一度、目を通してみてはいかがでしょうか。</p>
<div style=""text-align: right;"">＜Hiro＞</div>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310938/,防災豆知識,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310938/files/2014030310938_ilm22_aa01060-s-thumbnail2.jpg,"/var/share/joruri/upload/sys/files/00/00/55/04/00005504/0005504.dat
/var/share/joruri/upload/sys/files/00/00/55/03/00005503/0005503.dat","2014030310938_ilm22_aa01060-s-thumbnail2.jpg
2014030310938_ilm22_aa01060-s.jpg","2014030310938_ilm22_aa01060-s-thumbnail2.jpg
2014030310938_ilm22_aa01060-s.jpg",,
1475,13021,20,public,,2014/3/3 13:32,2017/7/6 11:33,,2013/7/19 12:04,夏休みの社会見学におすすめ 静岡県地震防災センター,,"<p>いよいよ夏休み。<br />お子さんと一緒に静岡県地震防災センターの見学に行ってみてはどうでしょうか？<br /><br /><img src=""./files/2014030310952_bousai2.jpg"" alt=""静岡県地震防災センター"" width=""400"" height=""300"" align="""" /><br /><br />2011年4月にリニューアルされたTSUNAMIシアターでは、東海地震で予想される津波のCG、東日本大震災で実際に撮影された津波の映像を見ることができます。<br />230インチの大型ディスプレイから迫ってくる津波の映像は迫力があります。<br /><br />ほかにも起震装置や消火体験コーナー、展示物などで、地震や津波の起こる仕組みや防災について知ることができます。<br />自由研究の題材にもなりそうですね。<br /><br />また、予約制ですが、8月11日（日）にはこども防災教室も予定されています。<br />施設の見学に加え、地震の話のほか、クイズやかるたなどを利用しながら防災を学ぶプログラムが用意されています。<br /><br /><img src=""./files/2014030310952_bousai1.jpg"" alt=""静岡県地震防災センター"" width=""400"" height=""300"" align="""" /><br /><br />静岡県地震防災センター<br /><br />静岡市葵区駒形通5丁目9番1号<br />054-251-7100<br /><a href=""http://www.pref.shizuoka.jp/bousai/e-quakes/"" target=""_blank"">http://www.pref.shizuoka.jp/bousai/e-quakes/</a><br /><br />開館時間 9：00～16：00<br />休館日 月曜日・年末年始<br />入館料 無料</p>
<div style=""text-align: right;"">はっぴー☆</div>",,,https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310952/,見聞録・体験記,移行,認定NPO法人はままつ子育てネットワークぴっぴ,システム管理者,"https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310952/files/2014030310952_bousai2.jpg
https://www.hamamatsu-pippi.net/shiritai/blog/bosai/docs/2014030310952/files/2014030310952_bousai1.jpg","/var/share/joruri/upload/sys/files/00/00/55/08/00005508/0005508.dat
/var/share/joruri/upload/sys/files/00/00/55/07/00005507/0005507.dat","2014030310952_bousai1.jpg
2014030310952_bousai2.jpg","2014030310952_bousai1.jpg
2014030310952_bousai2.jpg",,
