id,state,created_at,updated_at,published_at,name,title,body,division_id,large_division_id,large_division_sort_no,small_division_id,small_division_sort_no,category_id,place,lat,lng,tel,link_uri,image_file_id,creator_group_name,creator_user_name,public_full_uri,division_name,large_division_name,small_division_name,category_name,image_file_public_full_uri,image_file_public_path,image_file_upload_path,image_file_name,image_file_title,add1,add2,add3,add4,add5,add6,add7,add8,add9,add10,add11,add12,add13,add14,add15,add16,add17,add18,add19,add20,add21,add22
"1674","public","2021-11-18 10:52:07","2021-11-18 11:31:07","2021-11-18 11:31:07","2021111800028","ちゃーしゅうちゃおちゃん","","30","5","2","30","6","87","上西町35-3","34.720614","137.753410","050-8881-3320","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021111800028/","蒲","東区","蒲","子ども食堂","","","","","","URL$$https://www.ciaochan.com/","実施者$$岩脇　吉美","開催日時$$放課後学習（月曜、水曜、金曜）
15:00～19:00
夕食18:00～持ち帰り可
土曜自由学習
10:30～12:30、13:30～18:00
昼食12:30～13:30　夕食17:00～持ち帰り可","対象者$$浜松市の小学生・中学生（共働き・シングル世帯）","利用料$$自由学習のみ無料　ごはん付き（そぼろ丼ミニか、そぼろ丼M）子ども100円　飲み物は各自持参して下さい。","活動内容$$食事の提供
居場所 遊び場","備考$$前日までに『ちゃーしゅうちゃおちゃん』に連絡
（事前予約制）
付き添いの大人の食事は別途料金
自由学習はコロナ禍のため10人まで
※開催日時については変更となる場合があります。","","","","","","","","","","","","","","",""
"1672","public","2021-10-28 09:04:57","2021-10-28 09:08:15","2021-10-28 09:08:14","2021102800082","ヒーローズ保育園　上島","","23","8","1","23","11","79","上島5丁目23-30","34.74554826463938","137.74534864325616","053-473-1125","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021102800082/","曳馬","中区","曳馬","企業主導型保育事業","","","","","","URL$$https://heros-kids.com/facilities/kamijima/","設置者$$株式会社ヒーローズホールディングス","園長(施設責任者）$$鈴木　謙太郎","開所時間$$午前7時～午後8時","休園日$$なし","定員$$40人","地域枠$$あり","対象年齢$$生後3か月～2歳児","保育料$$施設にお問い合わせください","一時保育$$なし","病児保育$$あり（体調不良時対応型）","","","","","","","","","","",""
"1668","public","2021-07-01 15:23:40","2021-07-01 15:27:42","2021-07-01 15:27:42","2021070100092","エスコラ　アウカンセ","","21","8","1","21","9","50","富塚町3002-3","34.72819236279186","137.6909992969983","053-543-6280","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021070100092/","富塚","中区","富塚","外国人向け","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1669","closed","2021-10-04 14:05:43","2022-01-07 09:49:28","2021-10-05 11:23:24","2021100400024","子そだてトータルサポート「マミー」","","2","1","5","2","1","49","北区都田町7041","34.822654271879316","137.7099308259306","090-6070-0078","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021100400024/","都田","北区","都田","認可外","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1667","public","2021-07-01 09:39:14","2021-07-01 09:43:25","2021-07-01 09:43:24","2021070100016","寺子屋かもえ","カフェで大学生が小中高生の学びをサポートします！
寺子屋は、「地域でいちばん心地よく自学自習ができる場所」を目指しています。
寺子屋の大学生は、本人が本当に学びたいことについて学ぶこと・自分で考え発見することをお手伝いします。
みなさんのご参加お待ちしております！","14","8","1","14","2","93","三組町139-8（鴨江珈琲）","34.70688272014332","137.72142103136596","090-4113-1989","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 仲子","https://www.hamamatsu-pippi.net/shiritai/jido/2021070100016/","西","中区","西","その他の民間学習支援","","","","","","開催日時$$毎週水曜日　18:00~20:00（18:30までに参加者がいない場合、その日の開催は中止します。）","メール$$info@cafe-de-terakoya.or.jp","対象者$$小学1年生から高校3年生です。特別な条件はありません。","利用料$$無料","定員$$8名","申込方法$$お申込みは必要ありません。ただ、定員が少ないので、メールにてご連絡いただけますと確実です。","運営者$$特定非営利活動法人Cafe de寺子屋","URL$$https://cafe-de-terakoya.or.jp/","","","","","","","","","","","","","",""
"1665","public","2021-06-14 13:52:08","2021-06-14 13:52:08","2021-06-14 13:52:08","2021061400033","あかり","","14","8","1","14","2","49","鴨江二丁目34-52","34.7027757","137.7132107","090-5857-3398","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 仲子","https://www.hamamatsu-pippi.net/shiritai/jido/2021061400033/","西","中区","西","認可外","","","","","","","URL$$https://musubi-hamamatsu.com/akari/","","","","","","","","","","","","","","","","","","","",""
"1666","public","2021-06-14 14:16:09","2021-06-14 15:08:11","2021-06-14 14:16:55","2021061400040","Kun Kun Tavolo（クンクン ターヴォロ）みんなの食堂","","14","8","1","14","2","87","鴨江町1番地（浜松市鴨江アートセンター）","34.70496734020363","137.7245902681249","090-3256-6045","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021061400040/","西","中区","西","子ども食堂","","","","","","URL$$https://hamamatsu-fight.sakura.ne.jp/wp/","実施者$$はままつファイト！！レガーロ","開催日時$$毎月第3または第4木曜日
18:30～20:00","対象者$$興味のある子どもとその保護者（3歳～15歳 小学生・中学生程度）","利用料$$無料（こども）","活動内容$$食事の提供
居場所 遊び場","備考$$要事前予約（HP又は電話）","","","","","","","","","","","","","","",""
"1661","public","2021-05-27 13:26:49","2021-06-04 11:14:20","2021-06-04 11:14:19","2021052700128","浜北文化センター教室","","50","11","6","50","2","92","貴布祢291-1(浜北文化センター)","34.79429350","137.7831472","090-4468-0582","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021052700128/","北浜","浜北区","北浜","はままつ子どもの学習教室","","","","","","申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true","運営者$$NPO法人サステナブルネット","開催日時$$金曜日・18:30～20:30","対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者","利用料$$無料","","定員$$25名","メール$$greendays@shizuoka.tnc.ne.jp","","","","","","","","","","","","","",""
"1662","public","2021-05-27 13:28:57","2021-06-04 11:14:14","2021-06-04 11:14:13","2021052700135","JUICE 奏（ジュースかなで）","子どもの福祉・医療に関わる専門職が子ども・保護者相談を担当します","50","11","6","50","2","92","寺島3267-1(みどりの樹　ループ奏)","34.784186592778916","137.78982722891612","080-2666-4619","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021052700135/","北浜","浜北区","北浜","はままつ子どもの学習教室","","","","","","申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true","運営者$$一般社団法人みらいTALK","開催日時$$水曜日・18:00～20:00","対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者","利用料$$無料","","定員$$25名","","","","","","","","","","","","","","",""
"1663","public","2021-05-27 13:31:46","2021-10-28 11:05:57","2021-05-29 15:32:04","2021052700142","よりみちくらぶ","勉強が手につかない、苦手な科目でつまずいている、ご家庭の都合で家に一人でいる時間が多い等のお子様が学習する場所、みんなで過ごせる居場所を開いています。月に一度は、科学実験や季節行事を開催しています！学校帰りにふらっとよりみちしていきませんか？","54","12","8","54","1","92","二俣町二俣184-32(二俣協働センター)","34.86445107731","137.8176403106","053-583-1423","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021052700142/","天竜","天竜区","天竜","はままつ子どもの学習教室","","","","","","申込方法$$浜松市社会福祉協議会に参加意向申込書を提出します
子どもの未来応援事業サイト
https://www2.hamamatsu-syakyou.jp/gakushushien/venue/","運営者$$社会福祉法人天竜厚生会","開催日時$$水曜日・15:00～18:30","対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者","利用料$$無料","","定員$$25名","メール$$community.welfare-tk@tenryu-kohseikai.or.jp","","","","","","","","","","","","","",""
"1660","public","2021-05-27 13:24:09","2021-06-04 11:14:26","2021-06-04 11:14:26","2021052700111","北区引佐教室","井伊谷小学校の南側にある聖隷ケアセンターいなさの施設内2Ｆにあります。教室は明るく開放的で家庭的な雰囲気の中で学習支援を行っています。学校の宿題や復習を中心に分からないことろを理解できるまで学習します。また楽しいレクリエーションなどを通して、子供たちと積極的に交流しています。","47","1","5","47","5","92","引佐町井伊谷2569(聖隷ケアセンターいなさ)","34.831700226","137.6733756","053-546-0500","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021052700111/","引佐","北区","引佐","はままつ子どもの学習教室","","","","","","申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true","運営者$$社会福祉法人聖隷福祉事業団","開催日時$$木曜日・16:00～20:00","対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者","利用料$$無料","","定員$$25名","メール$$tng0500@sis.seirei.or.jp","","","","","","","","","","","","","",""
"1658","public","2021-05-27 13:18:03","2021-10-28 11:05:23","2021-06-04 11:14:34","2021052700098","寺子屋しんづ","特別養護老人ホームと同一敷地内にある、独立した平屋の建物で行っています。
地元の元教員の方や地元高校に通う高校生、法人職員やその家族などが学習支援ボランティアとして活動してくださっています。また、新津地区の民生委員児童委員協議会の協力を得ています。送り迎えが困難な子どもたちのために、送迎のサービスを行っています。","40","10","4","40","2","92","倉松町598(サービスセンター南風)","34.675962","137.696787","053-449-8101","","","認定NPO法人はままつ子育てネットワークぴっぴ","ぴっぴ 時田祐子","https://www.hamamatsu-pippi.net/shiritai/jido/2021052700098/","新津","南区","新津","はままつ子どもの学習教室","","","","","","申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true","運営者$$社会福祉法人ほなみ会","開催日時$$土曜日・13:30～15:30","対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者","利用料$$無料","","定員$$25名","","","","","","","","","","","","","","",""
