項目,名称,カナ,郵便番号,区,所在地_住所1,開設場所,使用種別,緯度,経度,電話番号,指定小学校,定員,開所時間（平日）,閉所時間（平日）,開所時間（長期）,閉所時間（長期）,開設（土曜日）,費用（保育料）,費用（おやつ代）,備考
1,若竹,,,中区,浜松市中区向宿三丁目8-18,相生小学校,専用施設,34.701593,137.753903,090-7868-8562,相生小学校,,,,,,,,,
2,若竹第2,,,中区,浜松市中区向宿三丁目8-18,相生小学校,専用施設,34.701593,137.753903,080-2619-4854,相生小学校,,,,,,,,,
3,あおぞら,,,中区,浜松市中区葵東一丁目15-1,北部協働センター,,34.756923,137.720754,090-1826-3446,葵が丘小学校,,,,,,,,,
4,こうま,,,中区,浜松市中区曳馬一丁目1-35,曳馬小学校,専用施設,34.726794,137.738448,090-8136-6514,曳馬小学校,,,,,,,,,
5,こうま第2,,,中区,浜松市中区曳馬一丁目1-35,曳馬小学校,専用施設,34.726794,137.738448,090-4404-1992,曳馬小学校,,,,,,,,,
6,こうま第3,,,中区,浜松市中区曳馬三丁目13-10,曳馬協働センター,,34.726896,137.743753,080-6978-5409,曳馬小学校,,,,,,,,,
7,竜禅寺,,,中区,浜松市中区竜禅寺町844,竜禅寺小学校,余裕教室,34.698003,137.743253,090-7959-0628,竜禅寺小学校,,,,,,,,,
8,かものこ,,,中区,浜松市中区西伊場町4-1,鴨江小学校,専用施設,34.703088,137.708973,090-2342-7426,鴨江小学校,,,,,,,,,
9,みずほ,,,中区,浜松市中区高丘北三丁目15-8,瑞穂小学校,専用施設,34.759406,137.715207,090-2188-3873,瑞穂小学校,,,,,,,,,
10,みずほ第2,,,中区,浜松市中区高丘北三丁目15-8,瑞穂小学校,専用施設,34.759406,137.715207,080-8251-0171,瑞穂小学校,,,,,,,,,
11,みずほ第3,,,中区,浜松市中区高丘西三丁目52-12 3F,民間ビル,,34.762935,137.69764,090-5102-6832,瑞穂小学校,,,,,,,,,
12,かみじま第1,,,中区,浜松市中区上島一丁目21-1,上島小学校,専用教室,34.735947,137.741005,070-5644-2713,上島小学校,,,,,,,,,
13,かみじま第2,,,中区,浜松市中区曳馬六丁目22-12,代官平会館,,34.738065,137.735718,090-1565-2778,上島小学校,,,,,,,,,
14,城北,,,中区,浜松市中区住吉一丁目23-1,城北小学校,余裕教室,34.731863,137.731457,090-2269-8701,城北小学校,,,,,,,,,
15,城北第2,,,中区,浜松市中区住吉一丁目23-1,城北小学校,専用教室,34.731863,137.731457,090-7306-3207,城北小学校,,,,,,,,,
16,葵西,,,中区,浜松市中区葵西二丁目25-2,葵西小学校,専用施設,34.768229,137.711124,090-2261-7124,葵西小学校,,,,,,,,,
17,萩丘,,,中区,浜松市中区幸五丁目12-1,萩丘小学校,余裕教室,34.746838,137.725932,090-4088-5103,萩丘小学校,,,,,,,,,
18,萩丘第2,,,中区,浜松市中区幸五丁目12-1,萩丘小学校,余裕教室,34.746838,137.725932,080-2538-0091,萩丘小学校,,,,,,,,,
19,さなる,,,中区,浜松市中区佐鳴台三丁目31-3,佐鳴台小学校,専用施設,34.706444,137.69731,090-5606-3928,佐鳴台小学校,,,,,,,,,
20,さなる第2,,,中区,浜松市中区佐鳴台三丁目31-3,佐鳴台小学校,余裕教室,34.706444,137.69731,090-3382-8447,佐鳴台小学校,,,,,,,,,
21,たかだい,,,中区,浜松市中区泉一丁目16-1,泉小学校,専用施設,34.739747,137.721233,080-2619-3140,泉小学校,,,,,,,,,
22,たかだい第2,,,中区,浜松市中区泉一丁目16-1,泉小学校,余裕教室,34.739747,137.721233,080-2637-1593,泉小学校,,,,,,,,,
23,ざざんざ,,,中区,浜松市中区中央二丁目2-1,東小学校,余裕教室,34.708637,137.740333,090-9937-5679,東小学校,,,,,,,,,
24,すこやか,,,中区,浜松市中区西浅田二丁目12-1,浅間小学校,余裕教室,34.692077,137.726709,080-3073-3696,浅間小学校,,,,,,,,,
25,こりす,,,中区,浜松市中区富塚町3541,富塚西小学校,余裕教室,34.729343,137.69985,090-1628-2532,富塚西小学校,,,,,,,,,
26,こりす第2,,,中区,浜松市中区富塚町3541,冨塚西小学校,余裕教室,34.729343,137.69985,080-5135-5008,冨塚西小学校,,,,,,,,,
27,さとう,,,中区,浜松市中区佐藤二丁目32-1,佐藤小学校,専用教室,34.71483,137.748461,080-5158-3564,佐藤小学校,,,,,,,,,
28,さとう第2,,,中区,浜松市中区佐藤二丁目32-1,佐藤小学校,専用施設,34.71483,137.748461,080-6396-1327,佐藤小学校,,,,,,,,,
29,花川,,,中区,浜松市中区花川町1911-1,花川会館,,34.773774,137.686456,080-1571-4569,花川小学校,,,,,,,,,
30,ふなこし,,,中区,浜松市中区船越町31-24,八幡中学校,専用施設,34.718959,137.743164,070-7773-4519,船越小学校,,,,,,,,,
31,ふなこし第2,,,中区,浜松市中区船越町29-1,船越小学校,余裕教室,34.718097,137.743911,070-7604-0588,船越小学校,,,,,,,,,
32,にしのこ,,,中区,浜松市中区鴨江町70-1,西小学校,余裕教室,34.706279,137.72122,070-7773-4520,西小学校,,,,,,,,,
33,にこにこ,,,中区,浜松市中区布橋一丁目9-1,追分小学校,余裕教室,34.720515,137.719913,070-7773-4521,追分小学校,,,,,,,,,
34,中部学園,,,中区,浜松市中区鹿谷町11-3,中部小学校,専用施設,34.714681,137.722315,070-7773-4522,中部小学校,,,,,,,,,
35,中部学園第2,,,中区,浜松市中区鹿谷町11-3,中部小学校,専用施設,34.714681,137.722315,070-7773-4523,中部小学校,,,,,,,,,
36,こだま,,,中区,浜松市中区海老塚二丁目5-1,双葉小学校,専用教室,34.699887,137.732115,070-7773-4511,双葉小学校,,,,,,,,,
37,こだま第2,,,中区,浜松市中区海老塚二丁目25-17,南部協働センター,,34.696769,137.733501,070-7773-4512,双葉小学校,,,,,,,,,
38,とみつか,,,中区,浜松市中区富塚町1803,富塚小学校,専用施設,34.726299,137.703289,070-7773-4513,富塚小学校,,,,,,,,,
39,とみつか第2,,,中区,浜松市中区富塚町1803,富塚小学校,専用施設,34.726299,137.703289,070-7773-4514,富塚小学校,,,,,,,,,
40,とみつか第3,,,中区,浜松市中区富塚町1740-1,富塚協働センター,,34.724241,137.703823,070-7773-4515,富塚小学校,,,,,,,,,
41,あがたい,,,中区,浜松市中区東伊場二丁目5-1,県居小学校,専用施設,34.698552,137.721457,070-7773-4516,県居小学校,,,,,,,,,
42,ひろさわ,,,中区,浜松市中区広沢二丁目51-1,広沢小学校,専用施設,34.716606,137.713263,070-7773-4517,広沢小学校,,,,,,,,,
43,ひろさわ第2,,,中区,浜松市中区広沢二丁目51-1,広沢小学校,専用施設,34.716606,137.713263,070-7773-4518,広沢小学校,,,,,,,,,
44,ひまわり第1,,,東区,浜松市東区積志町1497-1,積志小学校,専用施設,34.765934,137.760338,090-2261-9604,積志小学校,,,,,,,,,
45,ひまわり第2,,,東区,浜松市東区積志町1497-1,積志小学校,専用施設,34.765934,137.760338,080-1558-2805,積志小学校,,,,,,,,,
