名称,カナ,郵便番号,区,所在地_住所1,所在地_住所2,緯度,経度,電話,URL,運営者,開催曜日,開催時間,開催日時備考,活動内容,対象者,利用料,申込方法
Kun Kun Tavolo（クンクン ターヴォロ）みんなの食堂,,,中区,鴨江町1番地,浜松市鴨江アートセンター,34.70496734,137.7245903,090-3256-6045,https://hamamatsu-fight.sakura.ne.jp/wp/,はままつファイト！！レガーロ,毎月第3または第4木曜日,18:30～20:00,,"食事の提供
居場所 遊び場",興味のある子どもとその保護者（3歳～15歳 小学生・中学生程度）,無料（こども）,"要事前予約（HP又は電話）
"
子どもの居場所　えんあって子ども食堂,,,中区,蜆塚三丁目1-30,えんあって蜆塚の家,34.712808,137.706845,053-451-3848,https://npo95.webnode.jp/,NPO法人えんあって,第1月曜日,16:00～18:30,,"食事の提供
学習支援
居場所 遊び場",ひとり親家庭の子どもとその友達、支援の必要な子ども,大人300円、子ども100円,要事前予約（前日まで）
高台ワピ,,,中区,幸四丁目6-8,坂の上暮らしの相談所,34.74643,137.7271,053-474-5551,,高台ワピ,第3金曜日,17:30～,無くなり次第終了,"食事の提供
学習支援
居場所 遊び場",子ども、中学生、保護者、地域の一人暮らし高齢者,大人100円、子ども無料,
子ども食堂つむぎ,,,中区,城北三丁目3-40,つむぎカフェ,34.72303,137.71612,053-548-4471,,NPO法人プラチナライフサポート紡,第4木曜日,17:00～19:30,,"食事の提供
学習支援",幼児、小学生、中学生,大人300円、子ども無料,要事前予約
はままつやらまいかこども食堂,,,東区,市野町2620-1,長上協働センター,34.747146,137.767912,090-4468-0582,http://green-father.sakura.ne.jp/,NPO法人サステナブルネット,第2・4土曜日,18:00～18:30、18:30～19:00,,"食事の提供
食品提供",ひとり親家庭の子どもと親,無料,
子ども食堂きじの杜,,,浜北区,染地台五丁目4-3,総合福祉施設きじの里,34.791691,137.750164,090-6582-8150,http://amidasu.org/,NPO法人ねっとわあくアミダス,第1土曜日,11:30～13:30,,"食事の提供
居場所 遊び場",子ども、中学生、保護者、地域の一人暮らし高齢者,大人300円、子ども無料,要事前予約
さぎの宮寮子ども食堂,,,東区,小池町38-1,さぎの宮寮,34.754339,137.76405,053-434-5710,https://houeikai5710.jp/,社会福祉法人峰栄会,第3土曜日,10:30～13:00,,"食事の提供
居場所 遊び場",地域の子ども,無料,令和2年度中は休み
こども食堂きらら,,,南区,楊子町139,きらら浜松西館1F地域交流室,34.692162,137.746347,053-441-6323,https://kosodateshien.web.fc2.com/,NPO法人子育て支援の会,第1土曜日,9:00～13:00,,"食事の提供
居場所 遊び場",地域に居住する親子,無料,要会員登録
子ども食堂ヒロ,,,南区,恩地町94,テラスハウス太田B-1(自宅に併設のアトリエ）,34.69023,137.75839,090-1625-6241,,子ども食堂ヒロ,第1土曜日,11:20～14:00,,"食事の提供
食品提供",子ども、中学生、保護者,1家族300円,要事前予約
中ノ町げんき食堂,,,東区,中野町853,食処　楓,34.729959,137.798299,053-422-3300,https://genkishokudo.jimdofree.com,中ノ町げんき食堂,毎月第2・4金曜日,18:00～20:30,,"食事の提供
学習支援
居場所 遊び場",中ノ町小学校区内の小学生、保護者,1人300円,"要事前予約（2日前まで）
留学生との交流
地域交流
電話は10:00～16:00"
湖東子どもすこやか倶楽部,,,西区,湖東町1484-202,リハビリデイサービス湖東すこやか倶楽部 ,34.762103,137.665673,053-596-1730(浜松市社協) ,,社会福祉法人慶成会,月1回,10:00-14:00 ,,"食事の提供
学習支援
居場所 遊び場",湖東団地で生活をしていて、支援が必要な小学生,無料,"要事前予約
レクリエーション"
ふれあい子ども食堂もも,,,南区,高塚町1824-2,小規模多機能居宅介護施設つどいの家たんぽぽ,34.692698,137.67681,053-441-6028,,みんなの桃の里,第3土曜日,17:45-19:00（3部制）,,"食事の提供
居場所 遊び場
食品提供",子ども、中学生、保護者、高齢者,大人300円、子ども100円,"完全予約制（3部制）
人数制限あり

"
