施設名,郵便番号,所在地,所在地2,電話番号,緯度,経度,募集人数（0歳),募集人数(1歳),募集人数（2歳),募集人数（3歳),募集人数（4歳),募集人数（5歳),申込状況(0歳),申込状況(1歳),申込状況(2歳),申込状況(3歳),申込状況(4歳),申込状況(5歳),NO,区
ロイコスプレスクール,4328011,浜松市中区城北二丁目16-36,,053-471-0391,34.723668,137.719982,0,0,0,0,0,0,0,2,0,0,0,0,1,中区
こばと保育園,4300907,浜松市中区高林四丁目14-13,,053-471-0739,34.730117,137.732465,0,0,1,0,0,0,0,0,0,1,0,0,2,中区
天使園子どもの家,4328035,浜松市中区成子町23-1,,053-452-0203,34.701598,137.726207,0,0,0,1,1,0,5,4,1,0,0,0,3,中区
愛恵保育園,4328023,浜松市中区鴨江三丁目3-37,,053-453-5526,34.705988,137.716767,0,0,0,1,0,0,0,3,3,0,2,1,4,中区
ヘリオスプレスクール,4328053,浜松市中区法枝町124,,053-442-9198,34.685860,137.727952,0,0,0,0,0,0,2,1,0,1,0,0,5,中区
ルンビニープレスクール,4300923,浜松市中区北寺島町160,,053-453-3568,34.701741,137.740994,0,0,2,0,1,0,2,2,0,0,0,0,6,中区
天林寺保育園,4300905,浜松市中区下池川町27-1,,053-473-7718,34.715981,137.729488,0,0,1,0,0,0,2,5,0,3,2,2,7,中区
葵ヶ丘保育園,4338117,浜松市中区高丘東三丁目54-18,,053-437-7952,34.763532,137.717268,1,0,0,0,0,0,1,2,4,0,0,0,8,中区
なのはな保育園,4300929,浜松市中区中央三丁目4-7,,053-453-2620,34.707735,137.741208,0,0,1,1,0,0,6,6,0,0,1,0,9,中区
中央ながかみ保育園,4300856,浜松市中区中島二丁目7-8,,053-467-6600,34.701625,137.746419,0,0,0,1,0,0,1,4,1,0,0,0,10,中区
チャイルドスクエア浜松花川,4338109,浜松市中区花川町1846,,053-414-1212,34.774327,137.689306,1,2,0,3,0,4,1,0,0,0,0,0,11,中区
まつのき保育園,4328038,浜松市中区西伊場町4109-4,,053-488-6166,34.700781,137.705835,1,0,1,0,0,1,0,0,2,0,0,1,12,中区
ルミーナプレスクール,4350016,浜松市東区和田町315,,053-463-1278,34.715401,137.773225,0,0,0,0,0,0,1,2,0,1,0,0,13,東区
みどり保育園,4313123,浜松市東区有玉西町1222,,053-433-9734,34.762459,137.744593,0,0,0,0,0,0,1,7,0,1,0,0,14,東区
どんぐり保育園,4313111,浜松市東区中郡町1872,,053-433-5330,34.769595,137.782151,2,0,0,0,0,0,0,1,0,0,0,0,15,東区
ながかみ保育園,4350057,浜松市東区中田町776,,053-411-4811,34.736621,137.760277,1,0,0,0,0,0,2,3,1,0,0,0,16,東区
あそび西ケ崎保育園,4313115,浜松市東区西ケ崎町1430,,053-589-5757,34.775338,137.761923,1,0,0,0,0,0,3,1,6,2,0,0,17,東区
イーエーエスはんだやま保育園,4313125,浜松市東区半田山二丁目24-3,,053-432-7076,34.769797,137.735572,0,1,0,1,2,1,0,0,0,0,0,0,18,東区
生命の樹保育園,4328005,浜松市西区神ケ谷町8291-4,,053-485-0524,34.730049,137.683405,1,0,0,2,1,2,0,0,0,0,0,0,19,西区
わかくさ保育園,4328061,浜松市西区入野町920-1,,053-448-7777,34.697696,137.695347,0,0,0,0,0,0,1,0,2,0,0,1,20,西区
舘山寺保育園,4311209,浜松市西区舘山寺町2418-1,,053-487-1611,34.760833,137.614468,4,0,0,0,3,0,0,0,0,0,0,0,21,西区
大平台わかくさ保育園,4328005,浜松市西区神ケ谷町2042,,053-485-9000,34.713835,137.676001,0,0,0,0,0,0,4,4,6,0,2,1,22,西区
志都呂保育園,4328069,浜松市西区志都呂一丁目3-7,,053-448-1910,34.699575,137.664447,1,0,0,0,0,0,1,3,2,0,1,1,23,西区
ヒーローズ浜松西保育園,4310103,浜松市西区雄踏二丁目6-21,,053-592-8236,34.694957,137.641399,10,7,4,4,7,7,0,1,0,0,0,0,24,西区
マーガレット保育園,4310202,浜松市西区坪井町4571,,053-482-7078,34.682287,137.650015,0,0,0,0,0,0,0,1,0,0,0,0,25,西区
伊左地保育園,4311112,浜松市西区大人見町2966,,053-485-2700,34.736193,137.652899,0,0,0,0,2,0,1,0,7,0,0,0,26,西区
チャイルドスクエア浜松篠原,4310201,浜松市西区篠原町22451,,053-415-2525,34.682508,137.660282,0,0,0,2,9,12,0,0,1,0,0,0,27,西区
エオスプレスクール,4300835,浜松市南区遠州浜四丁目1-2,,053-425-7435,34.655564,137.776041,0,2,1,1,1,0,0,0,0,0,0,0,28,南区
初生保育園,4338104,浜松市北区東三方町185-2,,053-436-7102,34.777622,137.733950,0,0,1,4,1,2,7,2,0,0,0,0,29,北区
ひまわり保育園,4338103,浜松市北区豊岡町317-2,,053-420-2700,34.790974,137.734101,3,0,0,0,0,0,1,2,1,1,0,0,30,北区
細江保育園,4311305,浜松市北区細江町気賀431,,053-522-0596,34.807446,137.652091,1,0,0,0,0,0,0,0,0,0,0,0,31,北区
はらっぱ保育園,4338101,浜松市北区三幸町440-10,,053-482-9207,34.804003,137.724447,2,0,1,2,0,0,0,0,0,0,0,0,32,北区
ひまわり第二保育園,4338103,浜松市北区豊岡町474-1,,053-420-8000,34.793637,137.716714,0,0,0,0,0,0,1,2,0,0,1,0,33,北区
たんぽぽ保育園,4338112,浜松市北区初生町33-1,,053-474-2780,34.772182,137.713718,2,0,0,0,0,0,0,1,1,0,0,0,34,北区
ひがしみかた保育園,4338104,浜松市北区東三方町519-5,,053-401-1231,34.785361,137.737513,2,2,2,2,2,2,3,3,1,0,1,0,35,北区
チャイルドスクエア浜松三ヶ日,4311414,浜松市北区三ヶ日町三ヶ日916-70,,053-524-4188,34.803035,137.549028,1,4,4,12,11,12,0,0,1,0,0,0,36,北区
れんりの子,4312102,浜松市北区都田町8503-19,,053-428-3500,34.814442,137.732644,0,0,0,7,9,12,0,0,0,0,0,0,37,北区
はぐみなの風保育園,4338108,浜松市北区根洗町693,,053-570-3583,34.798104,137.702140,2,0,1,1,6,10,0,0,0,0,0,0,38,北区
くすのき保育園,4340034,浜松市浜北区高畑897,,053-589-3340,34.797783,137.798921,0,0,0,0,0,0,1,1,3,0,0,0,39,浜北区
浜北西保育園,4340003,浜松市浜北区新原4284-1,,053-585-5590,34.813510,137.781021,0,0,0,0,0,0,1,0,1,0,1,0,40,浜北区
うちのの丘。保育園,4340045,浜松市浜北区内野台二丁目13-6,,053-544-7080,34.784740,137.750062,0,0,0,1,0,5,2,1,2,0,1,0,41,浜北区
はなのこ保育園,4340044,浜松市浜北区内野619-5,,053-586-3300,34.785591,137.752081,1,1,0,1,6,4,0,0,0,0,0,0,42,浜北区
ヒーローズはまきた保育園,4340034,浜松市浜北区高畑474,,053-585-6161,34.792763,137.797110,0,0,0,7,13,19,2,5,3,2,0,0,43,浜北区
