名称,カナ,画像ファイル,区,郵便番号,所在地,緯度,経度,電話番号,URL,設置主体,定員,分類,対象年齢[受入],対象年齢[最終],休園日,開所時間,閉所時間,入所に必要な認定区分,延長保育の有無,延長保育[朝の開始時間],延長保育[夕方の終了時間],一時預かり保育,病児・病後児保育,学童保育の有無,備考,入園料等,保育料,給食・お弁当
はままつ保育園,ハママツホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/822/01_hamamatsuhoi.jpg,中区,430-0944,浜松市中区田町231-14,34.70896,137.73262,(053)453-1717,http://www.hamamatsu-hoikuen.com/,,109人,1類,6週間,小学校就学前まで,"祝日
12月31日～1月5日",7:30,19:30,不要,,,,一時預かり保育,,学童保育,,"10,000円","（0,1,2歳児は週5日6時間～）
0歳児　41,300円～
1歳児　38,600円～
2歳児　35,900円～
（3～5歳児は週5日8時間30分～）
3～5歳児　37,100円～",400円／回
和敬愛育園,ワケイアイホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/824/04_wakeiai.jpg,中区,433-8118,浜松市中区高丘西二丁目34-14,34.760931,137.700348,(053)437-5650,http://wakei-ai.com,,56人,1類,6か月,小学校就学前まで,土曜、日曜、祝日、夏季、年末年始、年度末（1日）,7:30,18:30,不要,,,,一時預かり保育,,,,なし,"0歳児　55,000円
1歳児　50,000円
2歳児　50,000円
3歳児　40,000円
4歳児　37,000円
5歳児　37,000円

第2子以降の減免制度 あり","5,000円（主食、おやつ代含む）"
ハレルヤ愛児園,ハレルヤアイジエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/825/04_hareruya.jpg,中区,433-8109,浜松市中区花川町351,34.778661,137.694537,(053)436-1458,http://aijien.org,,54人,1類,2か月,小学校就学前まで,"土曜、日曜、祝日
夏休み・冬休み（1週間程度）、春休み（1日）",7:00,17:30,不要,あり,,18:00,一時預かり保育,,,,"25,000円","0歳児　42,000円
1歳児　40,000円
2歳児　38,000円
3歳児　35,000円
4歳児　35,000円
5歳児　35,000円
第2子以降の減免制度 あり",保育料に含む
コドモダケ保育園,コドモダケホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/826/05_kodomotake.jpg,中区,430-0935,浜松市中区伝馬町311-7 2F・3F・4F,34.705198,137.727416,(053)459-3614,http://www.kodomodake.net/,,昼間部35人、夜間部35人,1類,2か月,小学校就学前まで,年末年始（12月31日～1月3日）、新年度準備・施設点検（3月31日）,0:00,0:00,不要,,,,一時預かり保育,,,,"会員　10,000円　非会員　500円","0歳児　43,200円
1歳児　40,560円
2歳児　40,560円
3歳児　37,840円
4歳児　37,840円
5歳児　37,840円

第2子以降の減免制度 あり
母子・父子家庭割引　あり",会員　350円/回　非会員　400円/回
エンゼル保育園,エンゼルホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/827/03_enzeru.jpg,中区,433-8117,浜松市中区高丘東四丁目4-12,34.760979,137.718077,(053)437-4108,http://www.angelhoikuen-hamamatu.net/,,45人,1類,3か月,小学校就学前まで,土曜、日曜、祝日、年末年始（12月28日頃～1月4日頃）、お盆期間（3日間程度）,7:00,18:00,不要,,,,一時預かり保育,,,,"10,000円","37,000円～55,000円 (時間によって異なる）
第2子以降の減免制度 あり
衛生費（おむつ・おしりふき・ティッシュ等）1,500円～2,500円","月6,000円（おやつ含む）"
さくら保育園,サクラホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/828/P1100139.JPG,東区,435-0056,浜松市東区小池町2693 2F,34.739994,137.756343,(053)466-1555,https://sakura39hoikuen.com,,30人,1類,2か月,3歳児,土曜、日曜、祝日、年末年始、新年度準備日、ゴールデンウイーク、お盆期間,7:00,18:00,不要,あり,,19:00,一時預かり保育,,,,"10,000円","０歳児　43,000円
１歳児　39,000円
２歳児　39,000円
３歳児　35,000円
兄弟割引あり
",400円/回（おやつ含む）
ちびっこハウスあくり,チビッコハウスアクリ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/833/14_akuri.jpg,中区,432-8032,浜松市中区海老塚町2-8,34.701368,137.729929,(053)413-5888,http://www.chibikkohouse-akuri.com/,,19人,2類,0か月（生後1週間）,小学校就学前まで,12月31日、1月1日、1月2日,0:00,0:00,不要,,,,一時預かり保育,,学童保育,,"10,000円","（週5日、1日6時間の場合）
　0歳児　44,800円
1歳児　39,200円
2歳児　35,800円
3歳児　35,100円
4歳児　31,500円
5歳児　30,000円
第2子以降の減免制度 あり","300円～500円/回（離乳食は200円/回）
※毎回払い
※チケット制あり
おやつ代無料"
はまきた保育園,ハマキタホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/843/25_hamakitahoi.jpg,浜北区,434-0034,浜松市浜北区高畑109-1,34.788557,137.799921,(053)586-7432,http://www.hamakita-hoikuen.com/,,36人,2類,2か月,小学校就学前まで,"土曜、日曜、祝日、年末年始（12月29日～1月3日）、お盆（3日間程度）
",7:30,18:30,不要,あり,,19:00,一時預かり保育,,,,"20,000円","0歳児　52,000円
1歳児　49,000円
2歳児　47,000円
3歳児　37,000円
4歳児　37,000円
5歳児　37,000円
第2子以降の減免制度　なし","6,000円/月"
オプネット保育園　浜松園,オプネットホイクエンハママツエン,,東区,431-3122,浜松市東区有玉南町1986-1,34.748004,137.747405,(053)479-8686,https://op-net.jp/nursery_school,,19人,2類,0歳,小学校就学前まで,土・日・祝日、年末年始、夏季、春季　他,8:30,18:00,不要,あり,8:00,19:00,一時預かり保育,,,「英語で保育」と「モンテッソーリ教育」を柱にした保育を実施しています。,"16,500円","0歳児　81,400円
1歳児　57,200円
2歳児　57,200円
3歳児　52,800円
4歳児　52,800円
5歳児　52,800円
※第2子以降の減免制度あり",１食330円より（サイズにより異なる）※委託給食
和香樹保育園,ワカギホイクエン,,天竜区,431-3425,浜松市天竜区区青谷2018-3,34.864638,137.780179,(053)925-3456,,,28人,2類,1歳,小学校就学前まで,土曜、日曜、祝日、年末年始（12月29日～1月5日）、夏季、春季他,8:00,17:00,不要,あり,7:30,18:30,一時預かり保育,,,,"12,000円＋税","(1時間あたり)
0歳児　360円～750円
1歳児　330円～700円
2歳児　330円～650円
3歳児～就学前　250円～600円
※利用形態により1時間あたりの料金が異なります。
※別途諸経費あり",なし（弁当持参）
はぐみな保育園,ハグミナホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1049/hagumina.jpg,中区,433-8111,浜松市中区葵西六丁目6-30,34.770067,137.703125,(053)570-3583,http://hagumina.com/,,40人,2類,6か月,小学校就学前まで,日曜、祝日、年末年始（12月29日～1月3日）、夏期（8月13日～15日）,7:30,18:30,不要,,,,一時預かり保育,,,"教材費3,000円
兄弟の保育料割引あり","10,000円","0歳児　60,000円
1歳児　60,000円
2歳児　58,000円
3歳児　45,000円
4歳児　44,000円
5歳児　43,000円
※一時保育、短時間の保育については、お問い合わせください。","月6,000円"
