施設名称,郵便番号,所在地,所在地2,電話番号,緯度,経度,募集人数（0歳),募集人数(1歳),募集人数（2歳),募集人数（3歳),募集人数（4歳),募集人数（5歳),申込状況(0歳),申込状況(1歳),申込状況(2歳),申込状況(3歳),申込状況(4歳),申込状況(5歳),NO,区
ひくまこども園,4300901,浜松市中区曳馬四丁目8-12,,053-464-4069,34.729259,137.744824,1,0,0,0,0,0,7,5,7,4,0,0,1,中区
なかざわこども園,4300904,浜松市中区中沢町58-9,,053-471-0497,34.722851,137.727827,0,0,0,0,0,0,0,1,0,0,0,0,2,中区
相生こども園,4300805,浜松市中区相生町14-30,,053-461-6519,34.708184,137.748593,0,0,0,0,1,0,2,3,1,2,2,0,3,中区
瑞雲こども園,4300807,浜松市中区佐藤二丁目22-1,,053-464-9557,34.713505,137.749472,0,0,0,0,0,0,4,5,4,1,1,1,4,中区
なかよし第2こども園,4300852,浜松市中区領家三丁目23-13,,053-443-9836,34.693829,137.754721,0,0,0,0,0,0,6,16,2,0,0,0,5,中区
遊歩の丘にしおかこども園,4338116,浜松市中区西丘町296,,053-463-8211,34.767395,137.691542,0,0,0,0,0,0,2,2,1,1,2,1,6,中区
みそらこども園,4328047,浜松市中区神田町513,,053-443-9836,34.690702,137.718880,0,0,0,0,0,0,9,6,1,0,1,0,7,中区
聖隷こども園めぐみ,4338125,浜松市中区和合町555-1,,053-401-1212,34.742267,137.701347,0,0,0,0,1,0,2,4,4,2,2,0,8,中区
和合こども園,4338125,浜松市中区和合町220-1280,,053-472-2522,34.742243,137.708270,2,0,0,0,0,0,1,8,0,3,0,0,9,中区
れんげこども園,4338127,浜松市中区和合北一丁目2-37,,053-482-8241,34.736530,137.722325,0,0,0,0,1,0,1,7,2,1,0,1,10,中区
小豆餅ゆすらうめこども園,4338113,浜松市中区小豆餅四丁目18-2,,053-414-0001,34.754470,137.730061,0,0,0,0,0,0,4,7,6,0,1,1,11,中区
上池さくらこども園,4328011,浜松市中区城北二丁目25-43,,053-474-1125,34.724181,137.723562,0,0,1,0,2,1,1,2,1,0,0,0,12,中区
音の森こども園,4328002,浜松市中区富塚町3657-1,,053-488-5116,34.729407,137.696560,0,0,0,0,0,0,6,8,3,1,0,1,13,中区
