,タイトル（施設名）,カナ,区,郵便番号,所在地_住所1,緯度,経度,電話,URL,施設,料金,備考
1,浜松城公園　児童プール,ハママツジョウコウエンジドウプール,中区,430-0946 静岡県浜松市中区元城町,浜松市中区元城町100-2,34.714379,137.724534,053-473-1829,https://www.city.hamamatsu.shizuoka.jp/koen-kan/pool.html,屋外プール（夏季のみ）,無料,利用対象は小学生以下の子ども 未就学児童は保護者同伴
2,和地山公園　児童プール,ワジヤマコウエンジドウプール,中区,432-8003 静岡県浜松市中区和地山,浜松市中区和地山三丁目10-1,34.729697,137.716396,053-473-1829,https://www.city.hamamatsu.shizuoka.jp/koen-kan/pool.html,屋外プール（夏季のみ）,無料,利用対象は小学生以下の子ども 未就学児童は保護者同伴
3,相生公園　児童プール,アイオイコウエンジドウプール,中区,430-0805 静岡県浜松市中区相生町,浜松市中区相生町320-2,34.7068,137.749355,053-473-1829,https://www.city.hamamatsu.shizuoka.jp/koen-kan/pool.html,屋外プール（夏季のみ）,無料,利用対象は小学生以下の子ども 未就学児童は保護者同伴
4,船越公園　児童プール,フナコシコウエンジドウプール,中区,430-0913 静岡県浜松市中区船越町,浜松市中区船越町49-3,34.719155,137.748253,053-473-1829,https://www.city.hamamatsu.shizuoka.jp/koen-kan/pool.html,屋外プール（夏季のみ）,無料,利用対象は小学生以下の子ども 未就学児童は保護者同伴
5,舞阪表浜公園　児童プール,マイサカオモテハマコウエンジドウプール,西区,431-0211 静岡県浜松市西区舞阪町舞阪,浜松市西区舞阪町舞阪4604,34.678972,137.606649,053-596-2010,http://www.yuto-park.jp/maisaka/,屋外プール（夏季のみ）,無料,利用対象は小学生以下の子ども 未就学児童は保護者同伴
6,古橋廣之進記念浜松市総合水泳場 ToBiO,フルハシヒロノシンキネンハママツソウゴウスイエイジョウトビオ,西区,431-0201 静岡県浜松市西区篠原町,浜松市西区篠原町23982-1,34.675271,137.671065,053-489-5463,http://www.hgw.co.jp/tobio/,"屋外プール（夏季のみ）
屋内プール",有料,"屋外児童プールのみ無料
小学3年生以下は要付添い"
7,浜北温水プール（サーラグリーンアクア）,ハマキタオンスイプール サーラグリーンアリーナ,浜北区,434-0041 静岡県浜松市浜北区平口,浜松市浜北区平口5042-125,34.798761,137.757206,053-584-3023,http://www.hamakitaonsui-pool.com/,屋内プール,有料,小学2年生以下は要付添い
8,可美公園総合センター,カミコウエンソウゴウセンター,南区,432-8062 静岡県浜松市南区増楽町,浜松市南区増楽町920-2,34.687254,137.693529,053-449-0011,https://www.entetsuassist-dms.com/kami-nippashi-minamikupark/facility/detail/4,"屋外プール（夏季のみ）
屋内プール",有料,小学2年生以下は要付添い
9,亀崎ファミリーランドプール,カメサキファミリーランドプール,西区,431-0102 静岡県浜松市西区雄踏町宇布見,浜松市西区雄踏町宇布見9984-1　雄踏総合公園内,34.704035,137.614124,053-596-1810,http://www.yuto-park.jp/kamesaki/,屋外プール（夏季のみ）,有料,
10,天竜B&G海洋センター,テンリュウビーアンドジーカイヨウセンター,天竜区,431-3311 静岡県浜松市天竜区二俣町阿蔵,浜松市天竜区二俣町阿蔵330-2,34.85811,137.824786,053-922-0201,https://www.city.hamamatsu.shizuoka.jp/tn-machi/sports/tenryu_bg_center/index.html,屋内プール,有料,小学2年生以下は要付添い
11,北部水泳場,ホクブスイエイジョウ,中区,433-8118 静岡県浜松市中区高丘西,浜松市中区高丘西四丁目7-1,34.761091,137.692955,053-438-0220,http://hokubu.public-swimming-pool.com/,"屋外プール（夏季のみ）
屋内プール",有料,小学2年生以下は要付添い
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,431-0102 静岡県浜松市西区雄踏町宇布見,,,,,,,,
,,,,431-3311 静岡県浜松市天竜区二俣町阿蔵,,,,,,,,
,,,,433-8118 静岡県浜松市中区高丘西,,,,,,,,
