名称,カナ,郵便番号,区,地区,所在地,緯度,経度,電話番号,URL,設置主体,文科省学校コード,町名1,区名2,町名2,指定中学校
浜松市立西小学校,ハママツシリツ　ショウガッコウ,4328024,中区,,浜松市中区鴨江町70-1,34.706271,137.72111,053-452-1171,,浜松市,B122210003617,鴨江町･鴨江一丁目･鴨江三丁目･鴨江四丁目･栄町･三組町･中山町,,,西部中学校
浜松市立東小学校,ハママツシリツ　ショウガッコウ,4300929,中区,,浜松市中区中央二丁目2-1,34.711629,137.738411,053-452-3137,,浜松市,B122210003626,板屋町･木戸町･中央一丁目･中央二丁目･中央三丁目･常盤町(新川以東)･野口町(3～5丁目)･早馬町･八幡町･東田町,,,八幡中学校
浜松市立県居小学校,ハママツシリツ　ショウガッコウ,4328036,中区,,浜松市中区東伊場二丁目5-1,34.698536,137.721566,053-452-7505,,浜松市,B122210003635,菅原町･塩町･平田町･成子町･旅篭町･東伊場一丁目･東伊場二丁目･元魚町,,,西部中学校
浜松市立相生小学校,ハママツシリツ　ショウガッコウ,4300851,中区,,浜松市中区向宿三丁目8-1,34.701481,137.752888,053-461-0830,,浜松市,B122210003644,相生町･富吉町･中島町･中島一丁目･中島二丁目･中島三丁目･中島四丁目･名塚町･向宿一丁目･向宿二丁目･向宿三丁目･領家一丁目･領家二丁目･領家三丁目,南区,三島町(1841～1852番地(旧領家町)),東部中学校
浜松市立竜禅寺小学校,ハママツシリツ　ショウガッコウ,4300924,中区,,浜松市中区龍禅寺町844,34.698275,137.742945,053-452-0683,,浜松市,B122210003653,北寺島町･寺島町･龍禅寺町,南区,楊子町(雇用促進住宅),南部中学校
浜松市立追分小学校,ハママツシリツ　ショウガッコウ,4328012,中区,,浜松市中区布橋一丁目9-1,34.720536,137.720076,053-472-1281,,浜松市,B122210003662,城北一丁目･城北二丁目･城北三丁目･布橋一丁目･布橋二丁目･布橋三丁目(11番～15番を除く)･文丘･和地山一丁目(1番～2番)･鹿谷町(旧亀山･旧松城を除く)(中学校は蜆塚中学校区),,,北部中学校
浜松市立佐藤小学校,ハママツシリツ　ショウガッコウ,4300807,中区,,浜松市中区佐藤二丁目32-1,34.715037,137.748674,053-461-0379,,浜松市,B122210003671,佐藤一丁目･佐藤二丁目･佐藤三丁目･天神町,,,丸塚中学校
浜松市立広沢小学校,ハママツシリツ　ショウガッコウ,4328013,中区,,浜松市中区広沢二丁目51-1,34.716617,137.713387,053-454-8335,,浜松市,B122210003680,鹿谷町(旧亀山)･蜆塚一丁目･蜆塚二丁目･蜆塚三丁目･蜆塚四丁目･高町･富塚町(東自治会(向平南3組･向平南4組･小薮飛地)･御前谷自治会)･布橋三丁目(11番～15番)･広沢一丁目･広沢二丁目･広沢三丁目･山手町,,,蜆塚中学校
浜松市立曳馬小学校,ハママツシリツ　ショウガッコウ,4300901,中区,,浜松市中区曳馬一丁目1-35,34.726775,137.738422,053-471-4201,,浜松市,B122210003699,十軒町(馬込川以東(東セロ跡地を除く))･新津町･助信町･早出町(上･中根北･中根南･東セロ跡地及び南側を除く)･高林一丁目･高林二丁目･高林三丁目･高林四丁目･高林五丁目･曳馬町･曳馬一丁目･曳馬二丁目･曳馬三丁目･曳馬四丁目(1番1号～9番16号)･曳馬五丁目(1番～5番)･曳馬六丁目(15番･26番1号～9号及び47号～52号),,,曳馬中学校
浜松市立萩丘小学校,ハママツシリツ　ショウガッコウ,4338123,中区,,浜松市中区幸五丁目12-1,34.746817,137.725941,053-471-4246,,浜松市,B122210003706,小豆餅一丁目･小豆餅二丁目･小豆餅三丁目･小豆餅四丁目･幸一丁目･幸二丁目･幸三丁目(1番1号～17番44号･18番1号～25番)･幸四丁目･幸五丁目･萩丘一丁目･萩丘二丁目･萩丘三丁目･萩丘四丁目･萩丘五丁目,,,高台中学校
浜松市立富塚小学校,ハママツシリツ　ショウガッコウ,4328002,中区,,浜松市中区富塚町1803,34.726316,137.703454,053-471-0203,,浜松市,B122210003715,富塚町(東自治会(向平南3組･向平南4組･小薮飛地を除く)･北自治会･中自治会(上ノ平地区を除く)),,,富塚中学校
浜松市立白脇小学校,ハママツシリツ　ショウガッコウ,4300841,南区,,浜松市南区寺脇町431,34.681422,137.746128,053-441-0693,,浜松市,B122210003724,瓜内町(1番地～1813番地まで)･白羽町(国道1号線以北)･寺脇町･中田島町(馬込川以北)･福塚町･三島町(1841～1852番地(旧領家町)を除く)･楊子町(雇用促進住宅を除く),中区,瓜内町(1番地～1813番地までを除く),南部中学校
浜松市立蒲小学校,ハママツシリツ　ショウガッコウ,4300801,東区,,浜松市東区神立町5,34.717079,137.758126,053-461-2644,,浜松市,B122210003733,植松町･大蒲町･上新屋町･上西町･神立町(134の5～134の16を除く)･子安町･将監町･西塚町･丸塚町･宮竹町,,,丸塚中学校
浜松市立浅間小学校,ハママツシリツ　ショウガッコウ,4328045,中区,,浜松市中区西浅田二丁目12-1,34.692026,137.726718,053-441-1706,,浜松市,B122210003742,浅田町･上浅田一丁目･上浅田二丁目･春日町･神田町･西浅田一丁目･西浅田二丁目･法枝町(市営住宅)･南浅田一丁目･南浅田二丁目･森田町,,,江西中学校
浜松市立上島小学校,ハママツシリツ　ショウガッコウ,4338122,中区,,浜松市中区上島一丁目21-1,34.735879,137.741202,053-471-3195,,浜松市,B122210003751,上島一丁目･上島二丁目･上島三丁目･上島四丁目･上島五丁目･上島六丁目･上島七丁目･幸三丁目(17番45号～57号)･十軒町(馬込川以西)･早出町(上･中根北･中根南)･曳馬四丁目(9番17号～21番)･曳馬五丁目(6番～24番)･曳馬六丁目(1番～14番･16番～25番･26番10号～46号･27番～28番),,,曳馬中学校
浜松市立鴨江小学校,ハママツシリツ　ショウガッコウ,4328038,中区,,浜松市中区西伊場町4-1,34.703091,137.708969,053-452-0925,,浜松市,B122210003760,鴨江二丁目･西伊場町･南伊場町,,,西部中学校
浜松市立新津小学校,ハママツシリツ　ショウガッコウ,4328058,南区,,浜松市南区新橋町777,34.682685,137.702901,053-447-0044,,浜松市,B122210003779,倉松町･小沢渡町･田尻町(国道1号線以北)･堤町･新橋町(2767番地～2775番地を除く)･法枝町(国道1号線以北(1番地～210番地を除く))･米津町(国道1号線以北),中区,法枝町(1番地～210番地(市営住宅を除く)),新津中学校
