施設名称,郵便番号,所在地,所在地2,電話番号,緯度,経度,NO,区
萩丘幼稚園,4338124,浜松市中区泉二丁目3番10号,,053-471-2494,34.743424,137.722775,1,中区
鴨江幼稚園,4328024,浜松市中区鴨江町97番地の3,,053-452-5456,34.704573,137.721004,2,中区
成子幼稚園,4328035,浜松市中区成子町13番地,,053-452-2451,34.700636,137.725910,3,中区
富塚幼稚園,4328002,浜松市中区富塚町659番地,,053-471-3491,34.725583,137.705923,4,中区
佐藤幼稚園,4300807,浜松市中区佐藤三丁目15番18号,,053-463-7882,34.713017,137.750582,5,中区
ひくま幼稚園,4300903,浜松市中区助信町35番30号,,053-471-6197,34.722858,137.735980,6,中区
普済寺幼稚園,4328013,浜松市中区広沢一丁目2番1号,,053-453-1321,34.713349,137.719844,7,中区
蜆塚幼稚園,4328018,浜松市中区蜆塚一丁目20番2号,,053-452-4426,34.713717,137.713191,8,中区
あけぼの幼稚園,4328011,浜松市中区城北二丁目5番28号,,053-472-5818,34.721292,137.721086,9,中区
河輪幼稚園,4300822,浜松市南区東町238番地の1,,053-425-2044,34.679274,137.783932,10,南区
上島幼稚園,4338122,浜松市中区上島一丁目22番5号,,053-471-8951,34.736739,137.741818,11,中区
昭和幼稚園,4300851,浜松市中区向宿一丁目8番15号,,053-461-3344,34.706391,137.751660,12,中区
早出幼稚園,4350054,浜松市中区早出町1414番地の1,,053-464-4618,34.733654,137.749063,13,中区
蒲幼稚園,4300801,浜松市東区神立町480番地,,053-461-2612,34.716632,137.750984,14,東区
駅南幼稚園,4300925,浜松市中区寺島町478番地,,053-452-3734,34.701511,137.740767,15,中区
朝田幼稚園,4328053,浜松市中区法枝町116番地の1,,053-441-0369,34.685480,137.727933,16,中区
城北幼稚園,4328004,浜松市中区文丘町27番3号,,053-472-0336,34.726581,137.715484,17,中区
百花幼稚園,4338108,浜松市北区根洗町1497番地の2,,053-438-0545,34.792320,137.710159,18,北区
青葉幼稚園,4328025,浜松市中区栄町118番地,,053-454-0255,34.704071,137.725967,19,中区
浜松葵幼稚園,4338123,浜松市中区幸四丁目27番1号,,053-471-6878,34.743792,137.730864,20,中区
浜松学院大学付属幼稚園,4300906,浜松市中区住吉一丁目22番5号,,053-472-5193,34.727179,137.723551,21,中区
緑ヶ丘幼稚園,4328036,浜松市中区東伊場一丁目24番6号,,053-455-1253,34.700568,137.714874,22,中区
松城幼稚園,4328014,浜松市中区鹿谷町1番1号,,053-452-2088,34.713179,137.722292,23,中区
さなる幼稚園,4328068,浜松市西区大平台四丁目9番1号,,053-485-7502,34.710040,137.678687,24,西区
志都呂幼稚園,4328066,浜松市西区志都呂町1302番地,,053-448-1283,34.701200,137.655417,25,西区
あすなろ幼稚園,4300835,浜松市南区遠州浜一丁目10番2号,,053-425-2433,34.657024,137.761294,26,南区
美波幼稚園,4300842,浜松市南区大柳町50番地,,053-444-3735,34.678358,137.753880,27,南区
追分幼稚園,4338114,浜松市中区葵東二丁目10番23号,,053-437-2831,34.760404,137.723913,28,中区
篠ケ瀬幼稚園,4350042,浜松市東区篠ケ瀬町286番地,,053-464-8424,34.728841,137.773077,29,東区
気賀幼稚園,4311305,浜松市北区細江町気賀997番地の1,,053-522-0313,34.809983,137.652658,30,北区
北浜幼稚園,4340038,浜松市浜北区貴布祢409番地,,053-586-2855,34.795238,137.785763,31,浜北区
佐鳴台入野幼稚園,4328021,浜松市中区佐鳴台二丁目26番1号,,053-448-7190,34.704246,137.693586,32,中区
平成幼稚園,4338119,浜松市中区高丘北三丁目16番14号,,053-438-2800,34.763401,137.703372,33,中区
三松幼稚園,4311414,浜松市北区三ヶ日町三ヶ日432番地,,053-525-3434,34.808923,137.555537,34,北区
天王幼稚園,4350052,浜松市東区天王町943番地,,053-421-6979,34.734023,137.776428,35,東区
花園幼稚園,4310201,浜松市西区篠原町9376番地,,053-447-2336,34.688105,137.658032,36,西区
湖東幼稚園,4311103,浜松市西区湖東町1169番地の179,,053-486-1010,34.762664,137.664525,37,西区
日本文教幼稚園,4300917,浜松市中区常盤町141番地の20,,053-452-5511,34.710798,137.732605,38,中区
浜松海の星幼稚園,4328018,浜松市中区蜆塚三丁目14番3号,,053-455-3641,34.715002,137.707792,39,中区
海の星鷺の宮幼稚園,4313113,浜松市東区大瀬町27番地の32,,053-434-0051,34.754800,137.764595,40,東区
旭ヶ丘幼稚園,4338112,浜松市北区初生町1139番地,,053-437-4873,34.771445,137.731078,41,北区
浜名幼稚園,4310213,浜松市西区舞阪町浜田76番地,,053-592-0850,34.682761,137.615704,42,西区
水窪幼稚園,4314101,浜松市天竜区水窪町奥領家3184番地,,053-987-0769,35.167631,137.866492,43,天竜区
