ページタイプ,施設名称,カナ,top画像,区,地区,郵便番号,所在地,緯度,経度,電話,URL,休館日,開館時間,料金,アクセス,駐車場,市区町村コード,NO,施設概要,おすすめ１タイトル,おすすめ１画像,おすすめ１説明,おすすめ２タイトル,おすすめ２画像,おすすめ２説明,おすすめ３タイトル,おすすめ３画像,おすすめ３説明,子連れ便利度補足,取材ママ（パパ）のアドバイス,おすすめ1 ターゲット[赤ちゃん],おすすめ1 ターゲット[幼児],おすすめ1 ターゲット[小学生],おすすめ2 ターゲット[赤ちゃん],おすすめ2 ターゲット[幼児],おすすめ2 ターゲット[小学生],おすすめ3 ターゲット[赤ちゃん],おすすめ3 ターゲット[幼児],おすすめ3 ターゲット[小学生],子連れに便利な施設[授乳室],子連れに便利な施設[オムツ交換台],子連れに便利な施設[ベビーカーOK],子連れに便利な施設[託児サービス],子連れに便利な施設[飲食持参OK],子連れに便利な施設[自販機・売店],子連れに便利な施設[レストラン],調査日：,取材：,joruri_id,joruri_url
既定のフォーム（既存）,アクトシティ浜松,アクトシティハママツ,,中区,アクト,4307790,浜松市中区板屋町111-1,34.7051,137.7357,053-451-1111,https://www.actcity.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2018020300107/
既定のフォーム（既存）,鴨江アートセンター,カモエアートセンター,,中区,西,4328024,浜松市中区鴨江町1番地,34.7051,137.7246,053-458-5360,https://kamoeartcenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2018081300092/
既定のフォーム（既存）,子育て情報センター,コソダテジョウホウセンター,,中区,アクト,4300929,浜松市中区中央三丁目4-18,34.7077,137.7413,053-457-3415,https://kosodate.hamamatsu-pippi.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014041500021/
既定のフォーム（既存）,男女共同参画・文化芸術活動推進センター（あいホール）,ダンジョキョウドウサンカク・ブンカゲイジュツカツドウスイシンセンター（アイホール）,,中区,萩丘,4338123,浜松市中区幸三丁目3-1,34.7418,137.7272,053-412-0350,https://ai-hall.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:1,
既定のフォーム（既存）,浜松市かわな野外活動センター,ハママツシカワナヤガイカツドウセンター,,北区,引佐,4312202,浜松市北区引佐町川名455-5,34.8793,137.6984,053-544-0219,http://park20.wakwak.com/~hamataikyou/kawana/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014041500052/
既定のフォーム（既存）,浜松市天文台,ハママツシテンモンダイ,,南区,五島,4300836,浜松市南区福島町242-1,34.6635,137.7689,053-425-9158,https://www.city.hamamatsu.shizuoka.jp/s-kumin/hao/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014041500038/
既定のフォーム（既存）,浜松市美術館,ハママツシビジュツカン,,中区,中央,4300947,浜松市中区松城町100-1,34.7118,137.7237,053-454-6801,https://www.city.hamamatsu.shizuoka.jp/artmuse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014022400012/
既定のフォーム（既存）,浜松市立青少年の家,ハママツシリツセイショウネンノイエ,,中区,萩丘,4300906,浜松市中区住吉四丁目23-1 ,34.7324,137.7316,053-471-4725,https://h-seisyounen-ie.entetsuassist-dms.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014041500045/
既定のフォーム（追加）,秋野不矩美術館,アキノフクビジュツカン,,天竜区,天竜,4313314,浜松市天竜区二俣町二俣130,34.8649,137.8193,053-922-0315,https://www.city.hamamatsu.shizuoka.jp/akinofuku/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:2,
既定のフォーム（追加）,勤労青少年ホーム（アイミティ浜松）,キンロウセイショウネンホーム（アイミティハママツ）,,中区,アクト,4300913,浜松市中区船越町11-11,34.7145,137.7435,053-465-5065,https://www.birukan.jp/aimity/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:3,
