ID,NAME,施設名,状態,公開画面URL,管理画面URL,更新日時,作成日時,大_区・地域,小_区・地域,大_分類,小_分類,イベントカレンダー,所在地_住所,所在地_緯度経度,電話,画像URL,サムネイル画像URL,ひと言,詳細ページのリンク先,URL,開催日,開催時間,駐車場,プラスサポート,出張ひろば詳細,運営者,今月のチラシ
1588,2.02103E+12,さわさわひろば,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2021030300036/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1588,2021/4/8 10:07,2021/3/3 11:56,中区,城北,ひろば,子育て支援ひろば,加えない,広沢三丁目11-9,"34.7120621298426,137.7184288894287",053-451-6558,,,3歳以上の親子や小学生も利用できます。小学生は子どもだけで利用可能です。,,https://sawasawa.hamamatsu-pippi.net/,月～土（月2回　第1・3日曜開催/翌月曜休み）,午前8時30分～午後0時30分、午後1時～5時,9台,"出張ひろば
妊婦支援
外国人支援（英語・スペイン語・フランス語）
多世代支援","曳馬協働センター
火曜日
午前9時30分～午後14時30分",認定NPO法人はままつ子育てネットワークぴっぴ,"子育て支援ひろば今月のチラシ
https://www.hamamatsu-pippi.net/docs/2016062000030/#naka"
1481,2.01809E+12,ここみの森,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2018090300069/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1481,2018/10/1 9:07,2018/9/3 15:34,浜北区,中瀬,ひろば,子育て支援ひろば,加えない,中瀬4486-1,"34.814562,137.819372",080-3285-5533,,,,,http://kokominomori.hamazo.tv/,火～金（月4回 土曜または日曜開催/月1回木曜休み）,午前9時30分～正午、午後0時30分～午後3時,中瀬南部緑地会館の施設駐車場と共用,"出張ひろば
妊婦支援
発達支援
外国人支援（英語・中国語・タガログ語）
多世代支援
長期休暇支援","内野台コミュニティ会館
月曜日
午前9時～正午、午後0時30分～午後2時30分",一般社団法人ここみ,"子育て支援ひろば今月のチラシ
https://www.hamamatsu-pippi.net/docs/2016062000030/#hamakita"
1589,2.02103E+12,Luana（るあな）,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2021030300043/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1589,2021/4/1 9:04,2021/3/3 12:04,中区,佐鳴台,ひろば,子育て支援ひろば,加えない,佐鳴台二丁目23-27,"34.704434,137.693943",090-1742-2336,,,,,,月～金,午前9時～午後3時,15台,"出張ひろば
妊婦支援
発達支援
外国人支援（英語・中国語）
多世代支援
長期休暇支援","武道館
月曜日
午前9時～午後2時 ",学校法人興福寺学園（花園幼稚園）,"子育て支援ひろば今月のチラシ
https://www.hamamatsu-pippi.net/docs/2016062000030/#naka"
1446,2.01803E+12,OHANA（おはな）,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2018031600036/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1446,2021/4/2 9:31,2018/3/16 9:29,西区,篠原,ひろば,子育て支援ひろば,加えない,篠原町9271-5 ,"34.688775,137.658838",090-1758-2336,,,,,http://www.hana.ed.jp/publics/index/41/,月～金,午前9時～午後3時,20台,"出張ひろば
妊婦支援
発達支援
外国人支援（英語・仏語・中国語）
多世代支援
長期休暇支援","雄踏文化センター
水曜日
午前9時～午後2時",学校法人興福寺学園（花園幼稚園）,"子育て支援ひろば今月のチラシ
http://www.hamamatsu-pippi.net/docs/2016062000030/#nishi"
1447,2.01803E+12,ここみのおうち,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2018031600043/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1447,2018/4/2 16:37,2018/3/16 9:34,南区,白脇,ひろば,子育て支援ひろば,加えない,瓜内町148-D,"34.690554,137.736834",070-1641-0553,,,,,http://kokominoouti.hamazo.tv/,月～金（月2回 日曜開催/月1回水曜、木曜休み）,"午前9時30分～午後2時30分
（日曜日のみ午前9時30分～午後3時）",6台,"出張ひろば
妊婦支援
発達支援
外国人支援（中国語・ポルトガル語）
多世代支援
長期休暇支援","新津協働センター
水曜日
午前9時～午後2時",一般社団法人ここみ,"子育て支援ひろば今月のチラシ
http://www.hamamatsu-pippi.net/docs/2016062000030/#minami"
1257,2.01503E+12,きらり,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2015031600035/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1257,2015/3/31 14:08,2015/3/16 13:49,東区,長上,ひろば,子育て支援ひろば,加えない,中田町776,"34.736607,137.760384",053-411-4811,,,,,http://www.nanakeikai.jp/child/chiiki/,月～金,午前8時30分～午後1時30分,30台,"出張ひろば
妊婦支援
長期休暇支援","天竜協働センター
火曜日
午前10時～午後3時",社会福祉法人七恵会（ながかみ保育園）,"子育て支援ひろば今月のチラシ
http://www.hamamatsu-pippi.net/docs/2016062000030/#higashi"
759,2.01404E+12,まんまのつぼみ,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2014041800060/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/759,2018/3/31 15:56,2014/4/18 13:49,中区,萩丘,ひろば,子育て支援ひろば,加えない,葵西六丁目6-24（まんまの家）,"34.770247,137.702975",090-6645-3139,,,,,http://hagumina.com/mamma.php,月～木、土,午前9時～午後2時,23台,"出張ひろば
妊婦支援
発達支援
外国人支援（ベトナム語）
多世代支援
長期休暇支援","高丘北会館
火曜日
午前9時～午後2時",合同会社MiMoチルコロ（はぐみな第二保育園）,"子育て支援ひろば今月のチラシ
http://www.hamamatsu-pippi.net/docs/2016062000030/#naka"
1250,2.01503E+12,ころころルーム,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2015030400179/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1250,2015/3/31 14:08,2015/3/4 15:43,西区,入野,ひろば,子育て支援ひろば,加えない,大平台四丁目11-23,"34.710549,137.679331",053-485-8912,,,,,http://www.koro2net.com/%E5%AD%90%E8%82%B2%E3%81%A6%E6%94%AF%E6%8F%B4%E3%81%B2%E3%82%8D%E3%81%B0,月～木、土,午前9時～正午、午後1時～3時,10台,"出張ひろば
妊婦支援
発達支援
多世代支援
長期休暇支援","神原会館
木曜日
午前9時～正午、午後1時～3時",NPO法人ころころねっと浜松,"子育て支援ひろば今月のチラシ
http://www.hamamatsu-pippi.net/docs/2016062000030/#nishi"
1249,2.01503E+12,えんしゅうはま すくすくひろば,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2015030400162/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1249,2017/4/12 11:31,2015/3/4 15:36,南区,五島,ひろば,子育て支援ひろば,加えない,遠州浜二丁目9-10,"34.657384,137.766845",053-425-4155,,,3歳以上の親子や小学生も利用できます。小学生は子どもだけで利用可能です。,,http://hamamatsusukusuku.hamazo.tv/,毎日,午前8時30分～午後0時30分、午後1時～5時,5台,"出張ひろば
妊婦支援
外国人支援（中国語・ポルトガル語）
多世代支援","ふれあい交流センター可美
土曜日
午前9時30分～正午、午後0時30分～3時",浜松市シルバー人材センター,"子育て支援ひろば今月のチラシ
http://www.hamamatsu-pippi.net/docs/2016062000030/#minami"
1248,2.01503E+12,ひろさわ すくすくひろば,非公開,https://www.hamamatsu-pippi.net/tsunagaru/h_kosodate/2015030400155/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1248,2021/3/31 16:53,2015/3/4 15:34,中区,城北,ひろば,子育て支援ひろば,加えない,広沢三丁目11-9,"34.712062,137.718398",053-451-6558,,,3歳以上の親子や小学生も利用できます。小学生は子どもだけで利用可能です。,,http://hamamatsusukusuku.hamazo.tv/,毎日,午前8時30分～午後0時30分、午後1時～5時,9台,"出張ひろば
発達支援
妊婦支援
親支援
孫育て支援","白脇協働センター
火曜日
午前9時30分～正午、午後0時30分～午後3時",浜松市シルバー人材センター,"子育て支援ひろば今月のチラシ
http://www.hamamatsu-pippi.net/docs/2016062000030/#naka"
