ID,NAME,施設名,状態,公開画面URL,管理画面URL,更新日時,作成日時,大_区・地域,小_区・地域,大_分類,小_分類,イベントカレンダー,所在地_住所,所在地_緯度経度,電話,画像URL,サムネイル画像URL,ひと言,詳細ページのリンク先,URL,開催日,開催時間,園庭開放,駐車場
1637,2.02104E+12,浜松中央こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2021041900027/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1637,2021/4/19 15:04,2021/4/19 14:04,中区,中央,ひろば,親子ひろば,加えない,尾張町127-7,"34.711921,137.730753",053-453-0249,,,,,http://www.hamachuuyou.ed.jp/,第3木曜日　※詳細はHPをご確認ください。,"10:00～11:30
",毎週金曜日,あり
1638,2.02104E+12,れんりの子,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2021041900034/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1638,2021/4/19 15:05,2021/4/19 14:11,北区,都田,ひろば,親子ひろば,加えない,都田町8503-19,"34.81528780507352,137.73294470739137",053-428-3500,,,,,https://hoikuen-lenri.com/,月2回　不定期,10:00～10:40,毎週月曜日～金曜日（祝日は除く）　9:00～11:30,10台
1639,2.02104E+12,はぐみなの風保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2021041900041/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1639,2021/4/19 15:27,2021/4/19 14:37,北区,三方原,ひろば,親子ひろば,加えない,根洗町693,"34.7983252562656,137.69981546876045",053-414-8937,,,,,https://hagumina.com/,第3水曜日,10:00～11:00,水曜　9:00～11:00,10台
1640,2.02104E+12,チャイルドスクエア浜松三ヶ日,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2021041900058/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1640,2021/4/19 15:28,2021/4/19 14:41,北区,三ヶ日,ひろば,親子ひろば,加えない,三ヶ日町三ヶ日916-70,"34.80326463100707,137.5489747534499",053-524-4188,,,,,http://childsquare.com/,第3水曜日,9:30～11:30,毎週木曜日,あり
1641,2.02104E+12,ひがしみかた保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2021041900065/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1641,2021/4/19 15:54,2021/4/19 15:38,北区,三方原,ひろば,親子ひろば,加えない,東三方町519-5,"34.78579506916425,137.7374416819695",053-401-1231,,,,,,6月より　月・水,9:30～11:30,"天気次第（10:45～11:20）



",あり
1511,2.01903E+12,音の森こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2019033000039/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1511,2019/3/30 11:22,2019/3/30 11:22,中区,富塚,ひろば,親子ひろば,加えない,富塚町3657-１,"34.729238,137.696415",053-488-5116,,,,,https://otonomori-kodomoen.jp/,水,9：30～11：00,水　9：30～11：00,15台
1512,2.01903E+12,チャイルドスクエア浜松花川,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2019033000046/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1512,2021/3/17 13:50,2019/3/30 11:30,中区,萩丘,ひろば,親子ひろば,加えない,花川町1846,"34.774337,137.689306",053-414-1212,,,,,,第3水,10：00～11：00,毎週木　10：00～11：00,5台
1513,2.01903E+12,イーエーエスはんだやま保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2019033000053/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1513,2019/3/30 11:33,2019/3/30 11:33,東区,積志,ひろば,親子ひろば,加えない,半田山二丁目24-3,"34.769837,137.735568",053-432-7076,,,,,,月（月1回）,10：00～11：30,月～金　10：00～11：30,園舎裏側
1514,2.01903E+12,森のいえ　はまきた,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2019033000060/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1514,2019/3/30 11:36,2019/3/30 11:36,浜北区,赤佐,ひろば,親子ひろば,加えない,於呂2739,"34.838348,137.796406",053-580-3131,,,,,http://hamakita-hoiku.com,水・金,9：30～12：00,水・金　9：30～12：00,30台
1515,2.01903E+12,うちのの丘。保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2019033000077/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1515,2019/3/30 11:42,2019/3/30 11:42,浜北区,浜名,ひろば,親子ひろば,加えない,内野台二丁目13-6,"34.784855,137.749913",053-544-7080,,,,,,不定期（月1回）,10：00～11：00,月・水・金　9：30～12：00,15台
1568,2.02004E+12, まつのき保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2020040400033/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1568,2020/4/4 10:40,2020/4/4 10:40,中区,西,ひろば,親子ひろば,加えない,西伊場町7-5,"34.701003,137.708025",053-488-6166,,,,,http://minnano-mori.sakura.ne.jp/,火,9:30～11:00,火 9:30～11:00,80台
1569,2.02004E+12,チャイルドスクエア浜松篠原,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2020040400040/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1569,2020/4/4 10:43,2020/4/4 10:43,西区,篠原,ひろば,親子ひろば,加えない,篠原町22451,"34.683237,137.673101",053-415-2525,,,,," 	 http://www.childsquare.com",第3水,10:00～11:00,毎週木 9:30～11:30,10台
