図書館名,郵便番号,所在地,電話,緯度,経度,NO,区
中央図書館【大規模改修のため休館中（～2022年7月予定）】,4300947,浜松市中区松城町214番地の21,053-456-0234,34.709632,137.72544,1,中区
中央図書館駅前分室,4300927,浜松市中区旭町12-1 遠鉄百貨店新館9階,053-458-2180,34.704582,137.733231,2,中区
城北図書館,4328003,浜松市中区和地山二丁目37-2,053-474-1725,34.730194,137.719017,3,中区
西図書館,4328038,浜松市中区西伊場町52-17,053-456-3379,34.697655,137.702317,4,中区
南図書館,4328033,浜松市中区海老塚二丁目25-17,053-452-1655,34.696984,137.733223,5,中区
北図書館,4338114,浜松市中区葵東一丁目15-1,053-436-6646,34.756752,137.72046,6,中区
東図書館,4350015,浜松市東区子安町309-1,053-464-2081,34.713202,137.761729,7,東区
積志図書館,4313114,浜松市東区積志町1819,053-435-0744,34.769785,137.761528,8,東区
流通元町図書館,4350007,浜松市東区流通元町20-2 産業展示館北館1階,053-422-0202,34.741159,137.790453,9,東区
はまゆう図書館,4311112,浜松市西区大人見町1750-394,053-482-1127,34.737858,137.657553,10,西区
舞阪図書館,4310211,浜松市西区舞阪町舞阪2668-56,053-592-7000,34.679262,137.613368,11,西区
雄踏図書館,4310102,浜松市西区雄踏町宇布見8287,053-596-5522,34.699461,137.631882,12,西区
南陽図書館,4300825,浜松市南区下江町462,053-426-1000,34.680079,137.772031,13,南区
可新図書館,4328063,浜松市南区小沢渡町1142-1,053-449-1001,34.684343,137.682253,14,南区
細江図書館,4311305,浜松市北区細江町気賀4579-1,053-527-0185,34.806785,137.649131,15,北区
引佐図書館,4312212,浜松市北区引佐町井伊谷610-2,053-542-2118,34.834557,137.671484,16,北区
三ヶ日図書館,4311404,浜松市北区三ヶ日町宇志799-1,053-528-0151,34.806732,137.557941,17,北区
浜北図書館,4340038,浜松市浜北区貴布祢3000,053-586-8200,34.791628,137.783281,18,浜北区
天竜図書館,4313314,浜松市天竜区二俣町二俣184-32,053-926-1245,34.864348,137.817868,19,天竜区
春野図書館,4370604,浜松市天竜区春野町宮川1327-1,053-989-1119,34.979411,137.897236,20,天竜区
佐久間図書館,4313901,浜松市天竜区佐久間町佐久間2431-3,053-965-1682,35.092119,137.810244,21,天竜区
水窪図書館,4314101,浜松市天竜区水窪町奥領家3274-1,053-982-0013,35.16639,137.869151,22,天竜区
龍山図書館,4313801,浜松市天竜区龍山町瀬尻982-2,053-968-0331,35.023326,137.840067,23,天竜区
都田図書館,4312102,浜松市北区都田町8751-2,053-428-0011,34.813056,137.737757,24,北区
